count,environment_medium_sd
259869,feces/stool
35179,soil
30636,air
16072,wastewater
15152,water
12693,sediment
9328,seawater
9317,sewage
6173,freshwater
5990,marine
5410,dairy food
4161,plant tissue
4140,river water
3916,manure
3638,environmental material
2249,biofilm
2199,activated sludge
2153,culture medium
2116,estuarine water
2036,laboratory
1918,groundwater
1822,environmental water
1805,lake water
1445,surface water
1445,hospital wastewater
1339,marine sediment
1141,tidal flat sediment
1022,healthcare facility
990,pond water
958,sludge
912,hospital sewage
874,hot spring water
815,built-environment water
794,biological product
793,environmental sample
785,leachate
741,canal water
684,sea ice
589,biological waste material
452,drinking/distribution water
447,subsurface shale
442,glacier
415,spring water
384,built environment surface
344,compost
311,water column
290,natural/free-living
255,brackish water
255,saline/brine water
242,irrigation water
224,chemically distinct water
215,agricultural/aquaculture water
106,surface/open water
101,geologic/produced water
94,produced water
89,agricultural/food-production water
86,Oyster pond
62,metadata descriptor/non-source
51,drainage/runoff water
42,salt marsh sediment
29,domestic wastewater
27,mine water
23,food-processing water
22,cave/cryoconite water
21,pond sediment
20,ice water
14,drainage water
8,running water
6,land crag
6,water/sediment mixture
4,aquarium/aquaculture water
3,landfill/leachate water
3,retting water
1,river sediment
