count,environment_medium_sd_broad
259869,feces/stool
66269,water
35804,environmental material
35179,soil
15243,sediment
14831,wastewater/sewage
5990,marine
5410,food/dairy
4161,plant-associated material
3916,agricultural fecal material
2249,biofilm
2153,culture medium
2036,laboratory environment
1022,healthcare-associated environment
794,biological/clinical product
785,leachate
684,sea ice
589,biological waste material
490,surface sample
442,environmental/geologic material
344,compost
65,clinical fluid/material
62,metadata descriptor / non-source
6,land crag
