count,subcontinent
1119233,Northern America
297024,Northern Europe
270906,Eastern Asia
141128,Western Europe
102618,Australia and New Zealand
51481,Southern Europe
46567,South America
38288,South-Eastern Asia
36010,Southern Asia
29948,Eastern Africa
23845,Western Asia
20827,Eastern Europe
18522,Southern Africa
15390,Western Africa
12372,Central America
10388,Northern Asia
6772,Ocean
4821,Northern Africa
3267,Melanesia
3136,Caribbean
2945,Antarctica
2740,Middle Africa
1136,South-eastern Asia
1005,Polynesia
939,Central Asia
426,Sea
112,Micronesia
