assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	status	detail	Host_SD	Host_TaxID	Host_Context_SD	Host_Health_State_SD	Host_Disease_SD	Isolation_Site_SD	Isolation_Source_SD	Sample_Type_SD
GCA_057041125.1	SAMN50509499	Prevotella sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_056965855.1	SAMN50491936	Candidatus Fimenecus sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_056966855.1	SAMN50491887	Cloacibacillus porcorum	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_009910895.1	SAMN09867717	Anaerotruncus colihominis	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Mus musculus	10090				manure	environmental material	manure
GCA_056652305.1	SAMN56813343	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_017893845.1	SAMN16963720	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_021562255.1	SAMN25220548	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Gallus gallus	9031				manure		manure
GCA_024607895.1	SAMN29844803	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=soil; proposed=agricultural organic material						manure	environmental material	manure
GCA_024610145.1	SAMN29955728	Campylobacter jejuni	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_024668365.1	SAMN29955713	Campylobacter jejuni	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_028733355.1	SAMN29015721	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Gallus gallus	9031				manure	environmental material	manure
