assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	status	detail	Host_SD	Host_TaxID	Host_Context_SD	Host_Health_State_SD	Host_Disease_SD	Isolation_Site_SD	Isolation_Source_SD	Sample_Type_SD
GCA_001010665.1	SAMN02581418	Aliarcobacter butzleri L350	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported			feces/stool
GCA_014295275.1	SAMN15693146	Escherichia coli	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_018389265.1	SAMN04441124	Lactobacillus paragasseri	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_029694205.1	SAMN32614600	Bacillus anthracis	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Capra hircus	9925		diseased	diseased		poultry meat/product	chicken carcass
GCA_029693425.1	SAMN32614569	Bacillus anthracis	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Bos indicus	9915		diseased	diseased		poultry meat/product	chicken carcass
GCA_001481485.1	SAMN04348604	Streptococcus equinus	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_052656135.1	SAMN51229358	Pectobacterium brasiliense	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present				diseased	diseased	plant stem	plant-associated material	
GCA_018905675.1	SAMEA5849327	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_025599085.1	SAMN31021824	Hominibacterium faecale	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	culture
GCA_033330225.1	SAMN33700744	Mannheimia haemolytica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharyngeal swab
GCA_056050555.1	SAMN23709809	Haemophilus influenzae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasal cavity/sinus/upper respiratory tract	clinical/host-associated material	
GCA_051897375.1	SAMN45100519	Yersinia enterocolitica	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	feces/stool
GCA_018337435.1	SAMN15150492	Escherichia coli	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	
GCA_051905555.1	SAMN49991574	Pseudomonas syringae	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present				diseased	diseased		clinical/host-associated material	
GCA_003181895.1	SAMN07326161	Clostridium perfringens	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Gallus gallus	9031		healthy	healthy/no disease reported		cloacal swab	
GCA_024599935.1	SAMN28230540	Clostridium perfringens	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Canis lupus familiaris	9615		healthy	healthy/no disease reported		clinical/host-associated material	mixed culture
GCA_030373825.1	SAMN34359389	Ligilactobacillus agilis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Gallus gallus	9031		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_043364295.1	SAMN40642688	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Canis lupus familiaris	9615		healthy	healthy/no disease reported		eces	
GCA_037031405.1	SAMN38909322	Fusobacterium polymorphum	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		Lateral Border Tongue	
GCA_044989685.1	SAMN44656897	Glaesserella parasuis	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Sus scrofa	9823		diseased	diseased			cell culture
GCA_046639425.1	SAMN45032189	Klebsiella pneumoniae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_030371355.1	SAMN34359432	Limosilactobacillus vaginalis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Gallus gallus	9031		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_030371425.1	SAMN34359475	Succinatimonas hippei	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Gallus gallus	9031		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_030372265.1	SAMN34359451	Mediterraneibacter glycyrrhizinilyticus	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Gallus gallus	9031		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_024451285.1	SAMN29831214	Enterobacter cloacae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	rectum/perianal region	clinical/host-associated material	rectal swab
GCA_024451425.1	SAMN29831207	Enterobacter cloacae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	rectum/perianal region	clinical/host-associated material	rectal swab
GCA_018906815.1	SAMEA5849349	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_900640185.1	SAMEA5198084	Legionella sainthelensi	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present				healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_050875195.1	SAMN48819329	Aeromonas veronii	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Oreochromis niloticus	8128		diseased	diseased		clinical/host-associated material	culture
GCA_001916255.1	SAMN05717260	Coprobacillus sp. CAG:235_29_27	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	
GCA_001916835.1	SAMN05717288	Oscillibacter sp. 57_20	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	
GCA_000737165.1	SAMN02894447	Yersinia ruckeri	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Salmo salar	8030		diseased	diseased	organ/tissue site	environmental material	
GCA_029383955.1	SAMD00467480	Staphylococcus aureus	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	skin/body surface	clinical/host-associated material	
GCA_904853585.1	SAMEA7048992	Burkholderia multivorans	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present				healthy	healthy/no disease reported		blood	
GCA_018962075.1	SAMEA7030908	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present				healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_026157965.1	SAMN30260669	Streptococcus mitis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharynx/oropharynx
GCA_026159355.1	SAMN30260626	Streptococcus mitis	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	blood
GCA_021285065.1	SAMN24183533	Enterobacter hormaechei	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_021285245.1	SAMN24183521	Enterobacter hormaechei	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_023148105.1	SAMN19899807	Parvimonas micra	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site		
GCA_001712495.1	SAMN05191965	Staphylococcus aureus	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharynx/oropharynx
GCA_028993755.1	SAMN33451425	Paenibacillus larvae subsp. larvae	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Apis mellifera	7460		diseased	diseased		clinical/host-associated material	cell culture
GCA_051894555.1	SAMN45100587	Yersinia enterocolitica	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	feces/stool
GCA_051896535.1	SAMN45100549	Yersinia enterocolitica	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	feces/stool
GCA_018908125.1	SAMEA5849366	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_001915385.1	SAMN05717216	Bacteroidales bacterium 52_46	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	
GCA_025542695.1	SAMN18871281	Clostridium sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	feces/stool
GCA_025542735.1	SAMN18871279	Clostridiales bacterium	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	feces/stool
GCA_025543955.1	SAMN18871219	Oscillospiraceae bacterium	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	feces/stool
GCA_027279445.1	SAMN32247269	Escherichia coli	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Aves	8782		diseased	diseased		clinical/host-associated material	
GCA_017160735.1	SAMN15355021	Aggregatibacter actinomycetemcomitans	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Macaca mulatta	9544		healthy	healthy/no disease reported	oral cavity	clinical/host-associated material	dental plaque
GCA_019278105.1	SAMN18809432	Lactobacillus crispatus	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	urogenital tract	clinical/host-associated material	vaginal swab
GCA_020528635.1	SAMN20884484	Salmonella enterica subsp. enterica serovar Newport	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported			
GCA_030371865.1	SAMN34359415	Phocaeicola barnesiae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Gallus gallus	9031		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_053891885.1	SAMN52822231	Edwardsiella tarda	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Siluriformes	7997		diseased	diseased		clinical/host-associated material	
GCA_051896415.1	SAMN45100551	Yersinia enterocolitica	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	feces/stool
GCA_051898455.1	SAMN45100465	Yersinia enterocolitica	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	feces/stool
GCA_025211055.1	SAMN30713057	Vallitalea sp.	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Montastraea cavernosa	63558		diseased	diseased			
GCA_029404275.1	SAMD00467432	Staphylococcus aureus	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	skin/body surface	clinical/host-associated material	
GCA_963565895.1	SAMEA4874857	Burkholderia pseudomallei	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		feces/stool	
GCA_007845295.1	SAMN10782564	TM7 phylum sp. oral taxon 352	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	oral cavity	clinical/host-associated material	saliva
GCA_007845265.1	SAMN10782566	TM7 phylum sp. oral taxon 352	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	oral cavity	clinical/host-associated material	saliva
GCA_001027815.1	SAMN02721472	Pasteurella multocida subsp. multocida	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Bubalus bubalis	89462		diseased	diseased		clinical/host-associated material	
GCA_057197585.1	SAMN57430177	Escherichia coli	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Gallus gallus	9031		diseased	diseased	gastrointestinal tract	clinical/host-associated material	farm
GCA_021310295.1	SAMN14969736	Aggregatibacter actinomycetemcomitans	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		subgingival plaque	
GCA_052258505.1	SAMN50623208	Psychrobacter sp. 1Y7	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Salmo salar	8030		healthy	healthy/no disease reported	skin/body surface	clinical/host-associated material	microbial isolate
GCA_040533685.1	SAMN42052451	Yersinia enterocolitica	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	feces/stool
GCA_017160835.1	SAMN15355025	Aggregatibacter actinomycetemcomitans	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Chlorocebus sabaeus	60711		healthy	healthy/no disease reported	oral cavity	clinical/host-associated material	dental plaque
GCA_026152295.1	SAMN31538040	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Sus scrofa domesticus	9825		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	gut content
GCA_018908245.1	SAMEA5849402	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_026157645.1	SAMN30260685	Streptococcus mitis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharynx/oropharynx
GCA_026160385.1	SAMN30260572	Streptococcus mitis	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	blood
GCA_025543315.1	SAMN18871249	Sutterella wadsworthensis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	gastrointestinal tract	clinical/host-associated material	feces/stool
GCA_027273835.1	SAMN32247457	Escherichia coli	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Aves	8782		diseased	diseased		clinical/host-associated material	
GCA_027275325.1	SAMN32247496	Escherichia coli	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Aves	8782		diseased	diseased		clinical/host-associated material	
GCA_027276545.1	SAMN32247409	Escherichia coli	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Aves	8782		diseased	diseased		clinical/host-associated material	
GCA_018907525.1	SAMEA5849369	Clostridioides difficile	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site	clinical/host-associated material	
GCA_021310275.1	SAMN14969741	Aggregatibacter actinomycetemcomitans	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		subgingival plaque	
GCA_021308725.1	SAMN14969763	Aggregatibacter actinomycetemcomitans	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported			
GCA_029636405.1	SAMN32614585	Bacillus anthracis	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Ovis aries	9940		diseased	diseased		poultry meat/product	chicken carcass
GCA_029648645.1	SAMN11638066	Pasteurella multocida	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Petaurus norfolcensis	122272		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	oropharyngeal/throat swab
GCA_041076755.1	SAMN42353885	Enterobacter hormaechei	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	urine
GCA_051896015.1	SAMN45100559	Yersinia enterocolitica	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	feces/stool
GCA_051898095.1	SAMN45100484	Yersinia enterocolitica	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	feces/stool
GCA_040533095.1	SAMN42052474	Yersinia enterocolitica	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	feces/stool
GCA_023147655.1	SAMN19899822	Staphylococcus haemolyticus	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	organ/tissue site		
GCA_046634645.1	SAMN45032240	Klebsiella pneumoniae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_046634865.1	SAMN45032234	Klebsiella pneumoniae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_046635165.1	SAMN45032224	Klebsiella pneumoniae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_033332425.1	SAMN33700634	Mannheimia haemolytica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharyngeal swab
GCA_001915455.1	SAMN05717219	Bacteroides sp. 43_46	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	
GCA_021229225.1	SAMN23848296	Escherichia coli	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present				healthy	healthy/no disease reported	rectum/perianal region	clinical/host-associated material	rectal swab
GCA_023924445.1	SAMN26210912	Mammaliicoccus sciuri	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	skin/body surface	clinical/host-associated material	skin swab
GCA_037907465.1	SAMN32974721	Bacillus thuringiensis	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Insecta	50557		diseased	diseased		clinical/host-associated material	cell culture
GCA_036906095.1	SAMN40026073	Cutibacterium avidum	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	skin/body surface	clinical/host-associated material	
GCA_050976365.1	SAMN44583917	Bordetella pertussis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasal cavity/sinus/upper respiratory tract	clinical/host-associated material	nasal swab
GCA_051897695.1	SAMN45100508	Yersinia enterocolitica	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		diseased	diseased		clinical/host-associated material	feces/stool
GCA_029693805.1	SAMN32614604	Bacillus anthracis	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Equus quagga	89248		diseased	diseased		poultry meat/product	chicken carcass
