assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	status	detail	Host_SD	Host_TaxID	Host_Context_SD	Host_Health_State_SD	Host_Disease_SD	Isolation_Site_SD	Isolation_Source_SD	Sample_Type_SD
GCA_033331965.1	SAMN33700658	Mannheimia haemolytica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharyngeal swab
GCA_033332085.1	SAMN33700652	Mannheimia haemolytica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharyngeal swab
GCA_033333035.1	SAMN33700622	Mannheimia haemolytica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharyngeal swab
GCA_033334615.1	SAMN33700521	Mannheimia haemolytica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Bos taurus	9913		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharyngeal swab
GCA_056051075.1	SAMN23709793	Haemophilus influenzae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasal cavity/sinus/upper respiratory tract	clinical/host-associated material	
GCA_021310195.1	SAMN14969744	Aggregatibacter actinomycetemcomitans	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		subgingival plaque	
GCA_026157405.1	SAMN30260694	Streptococcus mitis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharynx/oropharynx
GCA_026157525.1	SAMN30260689	Streptococcus mitis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharynx/oropharynx
GCA_046634825.1	SAMN45032237	Klebsiella pneumoniae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_046640055.1	SAMN45032163	Klebsiella pneumoniae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_000256665.1	SAMN02393736	Streptococcus pneumoniae 459-5	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	nasopharynx/oropharynx	clinical/host-associated material	nasopharynx/oropharynx
GCA_039834175.1	SAMN30916807	Vibrio vulnificus	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Tiger grouper	327785		diseased	diseased		seafood/aquatic food product	
GCA_900519355.1	SAMEA4830066	Corynebacterium lactis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present				healthy	healthy/no disease reported		tongue main corpus	
GCA_003994015.1	SAMN03381084	Brucella melitensis bv. 3	PH2A-HD-DISEASED	Host_Health_State_SD	diseased	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Capra hircus	9925		diseased	diseased		clinical/host-associated material	DNA extract
GCA_019192945.1	SAMN19909646	Lactobacillus gasseri CECT 5714	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Homo sapiens	9606		healthy	healthy/no disease reported	breast	clinical/host-associated material	cell culture
GCA_056497745.1	SAMN52483055	Capnocytophaga canimorsus	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	already_same	same destination value already present	Canis lupus familiaris	9615		healthy	healthy/no disease reported	oral cavity	clinical/host-associated material	
