isolation_source_sd,assembly_count,signal_classes,recommended_action
Tissue - chest wall,1,sample_type,route_to_sample_type
Tissue - hip,1,sample_type,route_to_sample_type
Tissue - knee,1,sample_type,route_to_sample_type
Tissue - knee synovium,1,sample_type,route_to_sample_type
Tissue - lower extremity,1,sample_type,route_to_sample_type
Tissue DEEP HUMERAL MEMBRANE,1,sample_type,route_to_sample_type
Tissue Fragment,1,sample_type,route_to_sample_type
Tissue GLENOID MEMBRANE,1,sample_type,route_to_sample_type
Tissue Left Shoulder,1,sample_type,route_to_sample_type
Tissue Left Shoulder glenoid membrane,1,sample_type,route_to_sample_type
Tissue Left Shoulder humeral membrane,1,sample_type,route_to_sample_type
Tissue Maternal side,1,sample_type,route_to_sample_type
Tissue R knee,1,sample_type,route_to_sample_type
Tissue Radial Fracture,1,sample_type,route_to_sample_type
Tissue Right Shoulder SUTURE,1,sample_type,route_to_sample_type
Tissue SUPERFICIAL HUMERAL MEMBRANE AND SUTURE,1,sample_type,route_to_sample_type
Tissue Shoulder humeral membrane,1,sample_type,route_to_sample_type
Tissue Specimen,1,sample_type,route_to_sample_type
Tissue ample,1,sample_type,route_to_sample_type
Tissue bit,1,sample_type,route_to_sample_type
Tissue elbow,1,sample_type,route_to_sample_type
Tissue from burn site,1,sample_type,route_to_sample_type
Tissue from hand,1,sample_type,route_to_sample_type
Tissue gall bladder,1,body_site|sample_type,route_to_sample_type
Tissue intraoral flap,1,sample_type,route_to_sample_type
Tissue left fore d5,1,sample_type,route_to_sample_type
Tissue left glenoid,1,sample_type,route_to_sample_type
Tissue left humeral,1,sample_type,route_to_sample_type
Tissue necrose,1,sample_type,route_to_sample_type
Tissue of rabbit,1,sample_type,route_to_sample_type
Tissue right buttock,1,sample_type,route_to_sample_type
Tissue right fore d5,1,sample_type,route_to_sample_type
Tissue right forefoot,1,sample_type,route_to_sample_type
Tissue right toe,1,sample_type,route_to_sample_type
Tissue(wound),1,body_site|sample_type,route_to_sample_type
"Tissue, Buttock",1,sample_type,route_to_sample_type
"Tissue, Buttock, Left",1,sample_type,route_to_sample_type
"Tissue, Canthus",1,sample_type,route_to_sample_type
"Tissue, Empyema",1,sample_type,route_to_sample_type
