isolation_source_sd_broad,assembly_count
clinical/host-associated material,1056402
environmental material,415836
food/meat,131139
food,33201
healthcare-associated environment,29845
plant-associated material,20804
host-associated context,12231
clinical fluid/material,9023
aquatic food product,7849
water,5148
environmental/geologic material,2831
food/dairy,2514
agricultural environment,2030
built environment,1388
culture,1021
feces/stool,343
culture/isolate,158
tissue,44
swab,12
cloacal sample,9
food/produce,8
animal tissue/site,6
food/plant product,6
molecular extract,3
medical device,2
sample,2
upper respiratory tract,2
culture medium,1
