isolation_source_sd,assembly_count
deeply circulating subsurface aquifer fluids,72
turtle,72
Bauxite residue,71
Cognac,71
ENVO:01001000,71
Semen,71
closed biodigester,71
tar patties,71
Ulcer,70
jejunum,70
organs,70
"the top hill,in the forest",70
HOE Legacy IIB net trap,69
Tracheal,69
agriculture,69
coriander powder,69
creek,68
flour,68
salt crust,68
sausage,68
Ciliate: Metopus sp. strain F25B,67
ENVO:03501134,67
Pasture,67
Seed,67
extraintestinal site,67
fermented food,67
peppercorn,67
Rifle well CD01 at 16ft depth; 0.1 micron filter at time point D,66
anammox-EGSB bioreactor,66
muscle,66
Burn,65
Exudate,65
HVS,65
ThroatNasal,65
Wild Bird,65
bagged salad mixture,65
cuban sandwich,65
raw product,65
urban industrial factory reactor residue,65
C_S_N bioreactor biomass,64
Inguinal,64
Mouse embryonic cells,64
fermented milk/dairy product,64
"""drag swabs, Gallus gallus domesticus""",63
CNR Borrelia - Pasteur Institute,63
Kilo Moana Hydrothermal plume 60m,63
Rifle well CD01 at time point 6 / F; 5m depth; 0.2 filter,63
"Yiwu, Zhejiang, China",63
abcess,63
beach sand,63
femus,63
mWWTPs outlet,63
DTA,62
Deep-sea hydrothermal vent chimney 2,62
Grassland,62
Japanese pickles,62
N,62
Rotting apple,62
horse,62
salami,62
Ciliate: Metopus sp. strain NARRIV,61
Ducks,61
"Geothermal fumarole subsurface microbial communities from Mt. Erebus, Antarctica",61
Salami,61
homogenate,61
ulcer,61
Harbour / creek,60
Madrid,60
Orchard,60
e9.5 right ventricle,60
macadamia nut,60
salad,60
surficial creek,60
whole body,60
Digesta,59
P,59
Retail table eggs,59
Rifle well CD01 at time point 3 / C; 5m depth; 0.2 filter,59
Yolk Sac,59
[ENVO_01000249],59
agricultural biome,59
ice sheet [ENVO_00000132],59
purified colonies,59
screen,59
Ciliate: Metopus paraes,58
Cyanide and thiocyanate bioreactor,58
Foremilk,58
Kaiser Permanente Washington,58
Rifle well CD01 at 16ft depth; 0.2 micron filter at time point C,58
WWTP inflow Grand Prado,58
lamb,58
phycosphere of toxic marne Dinoflagellate,58
Caeca,57
China:Yangzhou,57
Dilute Hydrothermal Plume,57
Lesion,57
Phytoplankton seston > 100 micron diameter,57
Rifle well CD01 at 16ft depth; 0.2 micron filter at time point A,57
Secreta,57
hulled sesame seed,57
jalapeno pepper,57
scat,57
MRSA [Broth],56
STERILE BODY SITE,56
flour/flour products,56
retail store,56
standard,56
Grey seal pup; live wild,55
Rifle well CD01 at 16ft depth; 0.2 micron filter at time point B,55
Smooth Stromatolite D,55
Switzerland,55
basil,55
flower,55
mWWTPs inflow,55
partial denitrification and anammox bioreactor,55
seed,55
ventilators,55
Draining-Matting Conveyor,54
Lamb,54
Taman mud volcano C13,54
Uterine,54
basaltic crustal fluids,54
excreta,54
flush slurry,54
powdered infant formula,54
Naris,53
No source bacteriemia,53
Unknow,53
VDG,53
Wild boar,53
catheteruria,53
habitat,53
INTEST_CONTENTS,52
Litopenaeus vannamei,52
Rifle well CD01 at 16ft depth; 0.1 micron filter at time point B,52
Tropical Atlantic Ocean,52
"Woody debris (""hog fuel"")",52
semen,52
tahini sesame seed paste,52
Household swabs,51
LBC,51
Upstream,51
ZC4 (Zoo Composter number 4) at the Sao Paulo Zoo,51
Baby Wipes,50
Channel catfish,50
Chick Paper,50
"Loihi Seamount, Marker 31, Hiolo North",50
"Loihi Seamount, Marker 39, Hiolo North",50
Maize bulk soils,50
Silage,50
Troups Creek Wetland,50
eces,50
sprout,50
ENVO:00000428,49
Endotracheal tube,49
Lab,49
parsley,49
rabbit,49
Anorectal,48
Calf,48
"Elkhorn Slough, Monterey Bay, California, USA",48
Indian Monsoon Gyres Province,48
Ruijin Hosiptal,48
Tongue,48
bedside tables,48
frozen tilapia,48
hyporheic zone,48
pool of organs,48
resected colorectal tumor,48
sterile,48
Cooling tower,47
Deep-sea hydrothermal vent chimney 3,47
Dinoflagellate: Breviolum psygmophilum,47
Domestic animal,47
ENVO:00010483,47
LIVESTOCK FEED,47
Lab generated,47
Ward,47
airway,47
calf,47
coal,47
egg salad,47
probiotic product,47
secreta,47
sourdough,47
tilapia,47
weathered rock,47
Environ,46
"Hamelin Pool, Shark Bay, WA",46
Northern Sea Otter,46
"Participant hand , Facility 1000",46
bacteriome,46
chromosome,46
fox,46
lab,46
microbial mats,46
serrano pepper,46
Ganjang,45
bark on land,45
bos taurus,45
cell culure,45
cormorant double crested,45
gauze pad,45
kibble,45
pituita,45
satellite cells,45
Agaricus bisporus production chain,44
Dryland maize soils,44
Hen,44
alfalfa sprouts,44
biocrust,44
coral mucus,44
2.8-km deep subsurface aquifer,43
Anaerobic digestion,43
Animal-Goat,43
Catch basin,43
Centre M�dico-Chirurgical InterArm�es Dominique Mattei,43
I,43
Intra-abdominal,43
PAR,43
ceacal content,43
runoff filter,43
seeds,43
tissue,43
Catch Basin,42
ENVO:00002003,42
Herbaceous Wetland,42
Raw lamb,42
Rectalswab,42
apple,42
endotracheal tube,42
plant root/rhizosphere,42
porcine,42
sp,42
0.22um filtered reactor supernatant,41
Puncture Fluids,41
Pustular Stromatolite D,41
Rifle well CD01 at 16ft depth; 0.1 micron filter at time point C,41
WW Barachois,41
alfalfa sprout,41
bloodculture,41
bovine necropsy,41
cabbage,41
coriander,41
paprika,41
peach,41
ur,41
wheat,41
Alicante,40
Aquatic,40
Retinal epithelial cells,40
Scotland: Glasgow,40
Wild bird,40
ballast tank,40
biomass on anode of bioreactor after 21 days,40
frozen lobster tail,40
hindgut chamber (section V),40
microbes were collected at JL-Dive96-S01,40
mutton,40
Antarctic Dry Valleys,39
Citellus undulatus,39
Intermediate-Care Facility,39
Kibera,39
Tahi Moana Above plume background,39
cell culuture,39
grassland,39
mud of mud volcano,39
nasogastric tube,39
ventilator shelves,39
"wild bird, Fulica atra",39
Camel,38
Ciliate: Cyclidium porcatum,38
Ciliate: Heterometopus palaeformis,38
