isolation_site_sd,assembly_count
gastrointestinal tract,103798
sterile body site,46777
rectum/perianal region,36352
nasopharynx/oropharynx,29951
wound,22269
lower respiratory tract/bronch/pleural cavity,20282
skin/body surface,19165
nasal cavity/sinus/upper respiratory tract,17919
organ/tissue site,15402
oral cavity,14445
respiratory tract,11118
plant-associated material,8964
plant root/rhizosphere,8568
urogenital tract,7165
leaf tissue,6869
cerebrospinal fluid,5264
manure,4577
abscess,4086
gut content,3257
root,2927
pus,2645
cloaca,1900
cervix,1165
plant stem,977
breast,972
vagina,675
tonsil/oropharyngeal site,639
bronchoalveolar lavage fluid,258
gastric biopsy,256
uterus,226
cubital fossa,225
liver,6
nasal site,6
brain,5
placenta,4
catheter,2
ear,2
kidney,2
skin,1
