source_column,normalized_value,destination,rule_count,proposed_values,duplicate_key,conflict_key
,dairy cattle manure bos taurus,Environment_Medium_SD,1,manure,false,false
,dairy cattle manure digester,Environment_Medium_SD,1,manure,false,false
,dairy cheese,Isolation_Source_SD,1,dairy food,false,false
,dairy cow,Isolation_Source_SD,1,dairy food,false,false
,dairy cow adult,Isolation_Source_SD,1,dairy food,false,false
,dairy cow feces,Sample_Type_SD,1,feces/stool,false,false
,dairy cow feces bos taurus,Sample_Type_SD,1,feces/stool,false,false
,dairy cows,Isolation_Source_SD,1,dairy food,false,false
,dairy culture,Isolation_Source_SD,1,dairy food,false,false
,dairy drain producer 1,Isolation_Source_SD,1,dairy food,false,false
,dairy drain producer 2,Isolation_Source_SD,1,dairy food,false,false
,dairy drain producer 3,Isolation_Source_SD,1,dairy food,false,false
,dairy environment,Isolation_Source_SD,1,dairy food,false,false
,dairy envo 00003862,Isolation_Source_SD,1,dairy food,false,false
,dairy equipment filters,Isolation_Source_SD,1,dairy food,false,false
,dairy farm,Isolation_Source_SD,1,dairy food,false,false
,dairy farm bootsock,Sample_Type_SD,1,bootsock/environmental swab,false,false
,dairy farm calf barn,Isolation_Source_SD,1,dairy food,false,false
,dairy farm cattle udder,Isolation_Source_SD,1,dairy food,false,false
,dairy farm environment,Isolation_Source_SD,1,dairy food,false,false
,dairy farm envo 00000104,Isolation_Source_SD,1,dairy food,false,false
,dairy farm envo 03501416 agricultural field envo 00000114 agricultural soil envo 00002259,Environment_Medium_SD,1,soil,false,false
,dairy farm envo 03501416 manure pit envo 01001872 bos taurus ncbitaxon 9913 fecal composite genepio 0004512,Sample_Type_SD,1,feces/stool,false,false
,dairy farm faecal,Sample_Type_SD,1,feces/stool,false,false
,dairy farm field,Isolation_Source_SD,1,dairy food,false,false
,dairy farm lagoon,Isolation_Source_SD,1,dairy food,false,false
,dairy farm sample,Isolation_Source_SD,1,dairy food,false,false
,dairy farm soil,Environment_Medium_SD,1,soil,false,false
,dairy farm water,Environment_Medium_SD,1,agricultural/aquaculture water,false,false
,dairy fecal,Sample_Type_SD,1,feces/stool,false,false
,dairy feed,Isolation_Source_SD,1,dairy food,false,false
,dairy fermentation,Isolation_Source_SD,1,dairy food,false,false
,dairy food contact producer 1,Isolation_Source_SD,1,dairy food,false,false
,dairy food contact producer 2,Isolation_Source_SD,1,dairy food,false,false
,dairy food contact producer 3,Isolation_Source_SD,1,dairy food,false,false
,dairy food in process,Isolation_Source_SD,1,dairy food,false,false
,dairy food material envo 01001045 milk derived food material envo 01001044,Isolation_Source_SD,1,milk,false,false
,dairy food product foodon 00001256,Isolation_Source_SD,1,dairy food,false,false
,dairy goats with persistent mastitis after therapy with enrofloxacin,Isolation_Source_SD,1,dairy food,false,false
,dairy goats with persistent mastitis before therapy with enrofloxacin,Isolation_Source_SD,1,dairy food,false,false
,dairy herd slurry,Isolation_Source_SD,1,dairy food,false,false
,dairy ice cream,Isolation_Source_SD,1,dairy food,false,false
,dairy industry,Isolation_Source_SD,1,dairy food,false,false
,dairy manure,Environment_Medium_SD,1,manure,false,false
,dairy milk,Isolation_Source_SD,1,milk,false,false
,dairy milk,Sample_Type_SD,1,milk,false,false
,dairy mixture,Isolation_Source_SD,1,dairy food,false,false
,dairy non food contact producer 1,Isolation_Source_SD,1,dairy food,false,false
,dairy non food contact producer 2,Isolation_Source_SD,1,dairy food,false,false
,dairy non food contact producer 3,Isolation_Source_SD,1,dairy food,false,false
,dairy other animal,Isolation_Source_SD,1,dairy food,false,false
,dairy product,Isolation_Source_SD,1,dairy food,false,false
,dairy product,Sample_Type_SD,1,dairy product,false,false
,dairy products,Isolation_Source_SD,1,dairy food,false,false
,dairy products,Sample_Type_SD,1,dairy food,false,false
,dairy research farm,Isolation_Source_SD,1,dairy food,false,false
,dairy sample,Isolation_Source_SD,1,dairy food,false,false
,dairy sector,Isolation_Source_SD,1,dairy food,false,false
,dairy sediment sample from manure,Environment_Medium_SD,1,sediment,false,false
,dairy sludge,Isolation_Source_SD,1,dairy food,false,false
,dairy starter,Isolation_Source_SD,1,dairy food,false,false
,dairy wash water,Environment_Medium_SD,1,water,false,false
,dam water,Environment_Medium_SD,1,environmental water,false,false
,date palm tree rhizospheric soil,Environment_Medium_SD,1,soil,false,false
,dead,Host_Health_State_SD,1,dead,false,false
,debris swab,Sample_Type_SD,1,environmental swab,false,false
,decomposition metagenome,Sample_Type_SD,1,metagenomic assembly,false,false
,decubitus swab,Sample_Type_SD,1,wound/lesion/abscess swab,false,false
,deep marine sediment,Environment_Medium_SD,1,marine sediment,false,false
,deep marine sediment envo 00002113,Environment_Medium_SD,1,marine sediment,false,false
,deep nasal swab,Sample_Type_SD,1,nasal swab,false,false
,deep nasopharyngeal swab,Sample_Type_SD,1,nasopharyngeal swab,false,false
,deep ocean,Environment_Broad_Scale_SD,1,marine environment,false,false
,deep sea,Environment_Broad_Scale_SD,1,marine environment,false,false
,deep sea biome,Environment_Broad_Scale_SD,1,marine environment,false,false
,deep sea hydrothermal vent fields,Environment_Broad_Scale_SD,1,marine environment,false,false
,deep sea hydrothermal vent marine,Environment_Broad_Scale_SD,1,marine environment,false,false
,deep sea mooring chain biofilm,Environment_Medium_SD,1,biofilm,false,false
,deep sea sediment,Environment_Medium_SD,1,marine sediment,false,false
,deep sea sediment sample 4862 08 in thermophilic enrichment culture,Sample_Type_SD,1,enrichment culture,false,false
,deep sea sediment sample 4871 20 in thermophilic enrichment culture,Sample_Type_SD,1,enrichment culture,false,false
,deep sea water,Environment_Medium_SD,1,seawater,false,false
,deep seawater,Environment_Medium_SD,1,seawater,false,false
,deep sediment,Environment_Medium_SD,1,sediment,false,false
,deep soil layers,Environment_Medium_SD,1,soil,false,false
,deep wound swab,Sample_Type_SD,1,wound/skin/pus swab,false,false
,deepsea,Environment_Broad_Scale_SD,1,marine environment,false,false
,deepsea sediment,Environment_Medium_SD,1,sediment,false,false
,deer meat,Isolation_Source_SD,1,meat product,false,false
,defect swab,Sample_Type_SD,1,wound/lesion/abscess swab,false,false
,dehydrated tomato,Isolation_Source_SD,1,plant/produce food product,false,false
,dehydrator tray swab,Sample_Type_SD,1,food/animal-production swab,false,false
,deli case interior deli case by potato and egg salad,Isolation_Source_SD,1,plant/produce food product,false,false
,deli meat,Isolation_Source_SD,1,meat product,false,false
,deli meat bologna,Isolation_Source_SD,1,meat product,false,false
,deli meat deli meat cured turkey breast maple honey,Isolation_Source_SD,1,meat product,false,false
,deli meat ham,Isolation_Source_SD,1,meat product,false,false
,deli meat low fat salt ham,Isolation_Source_SD,1,meat product,false,false
,deli meat samples,Isolation_Source_SD,1,meat product,false,false
,deli meat supressata,Isolation_Source_SD,1,meat product,false,false
,deli meat turkey,Isolation_Source_SD,1,meat product,false,false
,deli non food contact surface,Isolation_Source_SD,1,food/food product,false,false
,deli roast beef,Isolation_Source_SD,1,beef/meat product,false,false
,deli salad potato and egg salad,Isolation_Source_SD,1,plant/produce food product,false,false
,deli salad seafood salad,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,deli salad smoked fish salad,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,deli swab,Sample_Type_SD,1,food/animal-production swab,false,false
,dental biofilm,Environment_Medium_SD,1,biofilm,false,false
,dental plaque,Isolation_Site_SD,1,dental plaque,false,false
,derivative of hd 316 single cell isolate,Sample_Type_SD,1,pure/single culture,false,false
,derived from an anaerobic bioreactor culture in chemically defined minimal medium cdmm inoculated with a cdmm suspension of both smooth and nonsmooth colonies grown on blood agar base hemin plate babh medium this inoculating cdmm suspension assigned sampleid 100158 these babh colonies were generated from a both smooth and nonsmooth colonies on chocolate agar inoculated from a glycerol stock with sampleid 184 samn03275447,Isolation_Site_SD,1,blood,false,false
,derived from human gut metagenome,Sample_Type_SD,1,metagenomic assembly,false,false
,desert sheltered soil,Environment_Medium_SD,1,soil,false,false
,desert soil,Environment_Medium_SD,1,soil,false,false
,desert soil biome,Environment_Medium_SD,1,soil,false,false
,desert soil in mongolia,Environment_Medium_SD,1,soil,false,false
,desert surface envo 01001020 subsurface soil envo 00005791,Environment_Medium_SD,1,soil,false,false
,desinfected maize radicle santa helena 5050 variety grown in isolated environment in sterilized soil,Environment_Medium_SD,1,soil,false,false
,desinfected maize radicle sol da manha variety grown in isolated environment in sterilized soil,Environment_Medium_SD,1,soil,false,false
,diagnostic sample swab,Sample_Type_SD,1,clinical swab,false,false
,diarrhea,Host_Disease_SD,1,diarrheal disease,false,false
,diarrhea caused by clostridium difficile,Host_Disease_SD,1,diarrheal disease,false,false
,diarrhea stool,Sample_Type_SD,1,feces/stool,false,false
,diarrheal disease,Host_Disease_SD,1,diarrheal disease,false,false
,diarrheal patient stool,Sample_Type_SD,1,feces/stool,false,false
,diarrheal stool,Sample_Type_SD,1,feces/stool,false,false
,diarrheal stool sample,Sample_Type_SD,1,feces/stool,false,false
,diarrheic,Host_Disease_SD,1,diarrheal disease,false,false
,diarrhoea,Host_Disease_SD,1,diarrheal disease,false,false
,diarrhoeal stool,Sample_Type_SD,1,feces/stool,false,false
,diced meat,Isolation_Source_SD,1,meat product,false,false
,diesel contaminated soil,Environment_Medium_SD,1,soil,false,false
,digestive tract enviroment,Environment_Broad_Scale_SD,1,host-associated gut environment,false,false
,digestive tract enviroment,Environment_Local_Scale_SD,1,gut/fecal local context,false,false
,digestive tract environment,Environment_Broad_Scale_SD,1,host-associated gut environment,false,false
,digestive tract environment,Environment_Local_Scale_SD,1,gut/fecal local context,false,false
,dilbit coated clay beads in seawater,Environment_Medium_SD,1,seawater,false,false
,diphtheria,Host_Disease_SD,1,diphtheria,false,false
,direct hospital wastewater discharge,Environment_Medium_SD,1,hospital wastewater,false,false
,disease,Host_Health_State_SD,1,diseased,false,false
,disease bacteraemia,Host_Health_State_SD,1,diseased/patient,false,false
,disease in fish,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,disease meningitis,Host_Health_State_SD,1,diseased/patient,false,false
,disease otitis media,Host_Health_State_SD,1,diseased/patient,false,false
,disease pneumonia,Host_Health_State_SD,1,diseased/patient,false,false
,disease sepsis,Host_Health_State_SD,1,diseased/patient,false,false
,diseased,Host_Disease_SD,1,diseased,false,false
,diseased,Host_Health_State_SD,1,diseased,false,false
,diseased fish,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,diseased organs secretions and abnormal feces,Sample_Type_SD,1,feces/stool,false,false
,diseased shrimp,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,disinfectant free drinking water site 1,Environment_Medium_SD,1,drinking/distribution water,false,false
,disinfectant free drinking water site 2,Environment_Medium_SD,1,drinking/distribution water,false,false
,disinfectant free drinking water site 3,Environment_Medium_SD,1,drinking/distribution water,false,false
,disinfectant free drinking water site 4,Environment_Medium_SD,1,drinking/distribution water,false,false
,disinfectant free drinking water site 5,Environment_Medium_SD,1,drinking/distribution water,false,false
,distribution water,Environment_Medium_SD,1,drinking/distribution water,false,false
,distribution water from treated drinking water production facilities,Environment_Medium_SD,1,drinking/distribution water,false,false
,distribution water from treated plants,Environment_Medium_SD,1,drinking/distribution water,false,false
,disturbed soil,Environment_Medium_SD,1,soil,false,false
,ditch water,Environment_Medium_SD,1,drainage/runoff water,false,false
,diverse,Sample_Type_SD,1,metadata descriptor/non-source,false,false
,dna extraction control no fecal sample added to dna extraction reagents,Sample_Type_SD,1,feces/stool,false,false
,dna isolated from pure culture,Sample_Type_SD,1,pure/single culture,false,false
,dog faeces,Sample_Type_SD,1,feces/stool,false,false
,dog feces,Sample_Type_SD,1,feces/stool,false,false
,dog food,Isolation_Source_SD,1,food/food product,false,false
,dog food chicken meal,Isolation_Source_SD,1,food/food product,false,false
,dog food daily vitamin,Isolation_Source_SD,1,food/food product,false,false
,dog food extruded,Isolation_Source_SD,1,food/food product,false,false
,dog oral swab,Sample_Type_SD,1,oral/oropharyngeal swab,false,false
,dog stool,Sample_Type_SD,1,feces/stool,false,false
,domestic sewage,Environment_Medium_SD,1,sewage,false,false
,domestic waste water,Environment_Medium_SD,1,wastewater,false,false
,domestic wastewater,Environment_Medium_SD,1,wastewater,false,false
,domestic wastewater enriched in microbial fuel cell with added fumarate f1,Environment_Medium_SD,1,wastewater,false,false
,domestic wastewater enriched in microbial fuel cell without fumarate nf1,Environment_Medium_SD,1,wastewater,false,false
,domestic wastewater enrichment f1 with added fumarate,Environment_Medium_SD,1,wastewater,false,false
,domestic wastewater enrichment nf1 without fumarate,Environment_Medium_SD,1,wastewater,false,false
,domestic wastewater treatment plant wwtp,Environment_Medium_SD,1,wastewater,false,false
,donor s stool,Sample_Type_SD,1,feces/stool,false,false
,dorsal root ganglion,Isolation_Site_SD,1,plant root/rhizosphere,false,false
,dorsal root ganglion drg neurons,Isolation_Site_SD,1,plant root/rhizosphere,false,false
,dove feces,Sample_Type_SD,1,feces/stool,false,false
,downstream pintag irrigation water,Environment_Medium_SD,1,irrigation water,false,false
,draft genome of single strain bacteria,Sample_Type_SD,1,pure/single culture,false,false
,drag swab,Sample_Type_SD,1,environmental swab,false,false
,drag swab cantaloupe field,Sample_Type_SD,1,environmental swab,false,false
,drag swab chicken house gallus gallus domesticus,Sample_Type_SD,1,environmental swab,false,false
,drag swab from farm,Sample_Type_SD,1,environmental swab,false,false
,drag swab gallus gallus domesticus,Sample_Type_SD,1,environmental swab,false,false
,drag swab poultry,Sample_Type_SD,1,environmental swab,false,false
,drag swab poultry chicken,Sample_Type_SD,1,environmental swab,false,false
,drag swab produce field,Sample_Type_SD,1,environmental swab,false,false
,drag swab through chicken house gallus gallus domesticus,Sample_Type_SD,1,environmental swab,false,false
,drag swab watermelon field,Sample_Type_SD,1,environmental swab,false,false
,drain fecal swbs sample,Sample_Type_SD,1,feces/stool,false,false
,drain produce area,Isolation_Source_SD,1,plant/produce food product,false,false
,drain raw meat,Isolation_Source_SD,1,meat product,false,false
,drain seafood,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,drainage basin water,Environment_Medium_SD,1,environmental water,false,false
,drainage swab non sterile,Sample_Type_SD,1,environmental swab,false,false
,drainage water,Environment_Medium_SD,1,drainage water,false,false
,draining tract swab,Sample_Type_SD,1,environmental swab,false,false
,dried fish,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,dried fish skin pet chews jerky cube,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,dried herring fish,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,dried meat,Isolation_Source_SD,1,meat product,false,false
,dried milk nonfat,Isolation_Source_SD,1,milk,false,false
,dried mussel,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,dried shrimp,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,driking water system,Environment_Medium_SD,1,built-environment water,false,false
,drink water,Environment_Medium_SD,1,built-environment water,false,false
,drinking water,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water distribution system,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water from distribution plants,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water metagenome,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water metagenome,Sample_Type_SD,1,metagenomic assembly,false,false
,drinking water reservoir,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water reservoir lter site,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water system before chlorination,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water system ds1,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water system ds2,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water system ds3,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water system finished water,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water system pb1,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water system pb2,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water system pr,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water system raw water,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water system wm,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water treatment plant,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water treatment plant dwtp,Environment_Medium_SD,1,drinking/distribution water,false,false
,drinking water treatment plant envo 03600004,Environment_Medium_SD,1,drinking/distribution water,false,false
,dromedary milk,Isolation_Source_SD,1,milk,false,false
,drought tolerant rhizobacterial consortia enhance grapevine growth and tolerance to water deficit,Environment_Medium_SD,1,metadata descriptor/non-source,false,false
,dry arid soil,Environment_Medium_SD,1,soil,false,false
,dry dog food,Isolation_Source_SD,1,food/food product,false,false
,dry saline lake,Environment_Broad_Scale_SD,1,freshwater environment,false,false
,dry salted smoked meat,Isolation_Source_SD,1,meat product,false,false
,dry sediment,Environment_Medium_SD,1,sediment,false,false
,dry soil envo 00005748,Environment_Medium_SD,1,soil,false,false
,dual strain biofilm on detroit 562 cells,Environment_Medium_SD,1,biofilm,false,false
,duck drinking water,Environment_Medium_SD,1,drinking/distribution water,false,false
,duck faeces,Sample_Type_SD,1,feces/stool,false,false
,duck feces,Sample_Type_SD,1,feces/stool,false,false
,duck meat,Isolation_Source_SD,1,meat product,false,false
,duck meat for dog,Isolation_Source_SD,1,meat product,false,false
,duck pond,Environment_Broad_Scale_SD,1,freshwater environment,false,false
,duck retail meat,Isolation_Source_SD,1,meat product,false,false
,ducks feed,Sample_Type_SD,1,feed/fodder,false,false
,duckweed associated soil,Environment_Medium_SD,1,soil,false,false
,dust,Environment_Medium_SD,1,dust,false,false
,ear canal swab,Sample_Type_SD,1,rectal/cloacal/perianal swab,false,false
,ear swab,Sample_Type_SD,1,ear swab,false,false
,ear swab canis lupus familiaris,Sample_Type_SD,1,ear swab,false,false
,early seed surface sterilization rinse including the placenta and fruit pulp tissues,Isolation_Source_SD,1,plant/produce food product,false,false
,eastern mediterranean water,Environment_Medium_SD,1,seawater,false,false
,eastern oyster from coastal estuary,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,eastern tropical north pacific oxygen minimum zone incubated sea water,Environment_Medium_SD,1,seawater,false,false
,eastern tropical north pacific oxygen minimum zone sea water,Environment_Medium_SD,1,seawater,false,false
,ebpr bioreactor metagenome,Sample_Type_SD,1,metagenomic assembly,false,false
,ebpr bioreactors wastewater,Environment_Medium_SD,1,wastewater,false,false
,ebpr sludge,Environment_Broad_Scale_SD,1,wastewater/sewage,false,false
,ecological metagenome,Sample_Type_SD,1,metagenomic assembly,false,false
,ecological wastewater treatment,Environment_Medium_SD,1,wastewater,false,false
,eel fish,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,effluent,Environment_Medium_SD,1,wastewater,false,false
,effluent from dairy farm,Environment_Medium_SD,1,wastewater,false,false
,effluent from poultry environment,Environment_Medium_SD,1,wastewater,false,false
,effluent from the nine springs wastewater treatment plant,Environment_Medium_SD,1,wastewater,false,false
,effluent treatment plant,Environment_Medium_SD,1,wastewater,false,false
,effluent waste water,Environment_Medium_SD,1,wastewater,false,false
,effluent water,Environment_Medium_SD,1,wastewater,false,false
,egg metagenome,Sample_Type_SD,1,metagenomic assembly,false,false
,elephant manure,Environment_Medium_SD,1,manure,false,false
,elk feces,Sample_Type_SD,1,feces/stool,false,false
,embryonic kidney,Isolation_Site_SD,1,kidney,false,false
,emmental cheese,Isolation_Source_SD,1,dairy food,false,false
,endo cervical swab,Sample_Type_SD,1,urogenital swab,false,false
,endocervical swab,Sample_Type_SD,1,urogenital swab,false,false
,endosymbiont metagenome,Sample_Type_SD,1,metagenomic assembly,false,false
,endotracheal throat swab,Sample_Type_SD,1,oropharyngeal/throat swab,false,false
,endotracheal tube swab,Sample_Type_SD,1,respiratory swab,false,false
,engineered seafood imitation crab,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,enriched culture from antartic soil contaminated with penguin feces,Sample_Type_SD,1,feces/stool,false,false
,enrichment culture,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture biofilms,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture derived from river sediment,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture from biofilm obtained from underwater freshwater spring,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture from freshwater algal bloom,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture from terrestrial hot spring sediment,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture from terrestrial mud volcano,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture grown in lab scale ebpr sbr organism purified enriched using density based techniques,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture hlucc a from microbial mat sample contains cyanobacterium phormidesmis priestleyi ana and associated heterotrophs,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture hlucc o from microbial mat sample contains cyanobacterium phormidium oscr and associated heterotrophs,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture inoculated with black band disease microbial mat,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture inoculated with marine sediment,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture inoculated with sediment from anoxic soda lake,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture inoculated with sediment from salt lake,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture inoculated with soil,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture inoculated with surface estuarine sediment,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture nsfw from tap water in fudan university filter and ammonium,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture of drinking water treatment residuals inoculated with planktothrix agardhii,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture of hot tap water,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture of sludge sample from pulp mill wastewater,Sample_Type_SD,1,enrichment culture,false,false
,enrichment culture sampled from a low nitrate anoxic artesian well,Sample_Type_SD,1,enrichment culture,false,false
,enrichment from estuary sediment,Environment_Medium_SD,1,sediment,false,false
,enrichment from river sediment,Environment_Medium_SD,1,sediment,false,false
,enrichment of activated sludge from daejeon wwtp,Environment_Medium_SD,1,sewage,false,false
,enrichment reactor seeded with activated sludge,Environment_Medium_SD,1,sewage,false,false
,envirnomental,Isolation_Source_SD,1,environmental sample,false,false
,enviroment,Environment_Medium_SD,1,environmental material,false,false
,enviroment soil,Environment_Medium_SD,1,soil,false,false
,enviromental,Environment_Medium_SD,1,environmental material,false,false
,environment,Environment_Medium_SD,1,environmental sample,false,false
,environment associated with a plant part or small plant envo 01001057,Environment_Broad_Scale_SD,1,plant-associated environment,false,false
,environment associated with a plant part or small plant envo 01001057 rhizosphere environment envo 01000999 soil environment envo 01001044,Environment_Medium_SD,1,soil,false,false
,environment drag swab farm,Sample_Type_SD,1,environmental swab,false,false
,environment food,Isolation_Source_SD,1,food/food product,false,false
,environment hot water distribution system,Environment_Medium_SD,1,built-environment water,false,false
,environment litter manure,Environment_Medium_SD,1,manure,false,false
,environment non food,Isolation_Source_SD,1,food/food product,false,false
,environment oyster,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,environment processing effluent,Environment_Medium_SD,1,wastewater,false,false
,environment river water,Environment_Medium_SD,1,river water,false,false
,environment soil,Environment_Medium_SD,1,soil,false,false
,environment swab,Sample_Type_SD,1,environmental swab,false,false
,environment waste water,Environment_Medium_SD,1,wastewater,false,false
,environment water,Environment_Medium_SD,1,environmental water,false,false
,environmental,Environment_Broad_Scale_SD,1,environmental sample,false,false
,environmental,Environment_Medium_SD,1,environmental sample,false,false
,environmental,Isolation_Source_SD,1,environmental sample,false,false
,environmental air,Environment_Medium_SD,1,air,false,false
,environmental beefcattlefarm water,Environment_Medium_SD,1,agricultural/aquaculture water,false,false
,environmental drag swab,Sample_Type_SD,1,environmental swab,false,false
,environmental effluent,Environment_Medium_SD,1,wastewater,false,false
,environmental factory production facility,Isolation_Source_SD,1,environmental sample,false,false
,environmental factory production facility dairy,Isolation_Source_SD,1,dairy food,false,false
,environmental faeces,Sample_Type_SD,1,feces/stool,false,false
,environmental floor swab,Sample_Type_SD,1,environmental swab,false,false
,environmental food,Isolation_Source_SD,1,food/food product,false,false
,environmental food contact surface,Isolation_Source_SD,1,food/food product,false,false
,environmental food other,Isolation_Source_SD,1,food/food product,false,false
,environmental hospital surface,Environment_Local_Scale_SD,1,healthcare facility surface,false,false
,environmental hospital surface,Environment_Medium_SD,1,healthcare facility surface,false,false
,environmental hospital surface,Isolation_Source_SD,1,healthcare facility,false,false
,environmental marine sediment,Environment_Medium_SD,1,marine sediment,false,false
,environmental non food contact surface,Isolation_Source_SD,1,food/food product,false,false
,environmental reclaimed water,Environment_Medium_SD,1,built-environment water,false,false
,environmental river near wwtp effluent,Environment_Medium_SD,1,wastewater,false,false
,environmental sample,Environment_Broad_Scale_SD,1,environmental sample,false,false
,environmental sample,Environment_Medium_SD,1,environmental sample,false,false
,environmental seafood equipment,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,environmental seafood processing environment,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,environmental seafood processing surface,Isolation_Source_SD,1,seafood/aquatic food product,false,false
,environmental soil,Environment_Medium_SD,1,soil,false,false
,environmental sponge stick swab,Sample_Type_SD,1,environmental swab,false,false
,environmental surface,Environment_Local_Scale_SD,1,environmental surface,false,false
,environmental swab,Sample_Type_SD,1,environmental swab,false,false
,environmental swab 1,Sample_Type_SD,1,environmental swab,false,false
,environmental swab and sponge stick,Sample_Type_SD,1,environmental swab,false,false
,environmental swab aquatic wild bird,Sample_Type_SD,1,environmental swab,false,false
,environmental swab bib of dairy farm worker,Sample_Type_SD,1,environmental swab,false,false
,environmental swab boot,Sample_Type_SD,1,environmental swab,false,false
,environmental swab boot farm,Sample_Type_SD,1,environmental swab,false,false
,environmental swab boot of dairy farm worker,Sample_Type_SD,1,environmental swab,false,false
,environmental swab cheese manufacturer,Sample_Type_SD,1,environmental swab,false,false
,environmental swab cooler,Sample_Type_SD,1,environmental swab,false,false
,environmental swab diary room,Sample_Type_SD,1,environmental swab,false,false
,environmental swab door,Sample_Type_SD,1,environmental swab,false,false
,environmental swab drain raw meat,Sample_Type_SD,1,environmental swab,false,false
,environmental swab egg processing area,Sample_Type_SD,1,environmental swab,false,false
,environmental swab farm,Sample_Type_SD,1,environmental swab,false,false
,environmental swab floor cold storage,Sample_Type_SD,1,environmental swab,false,false
,environmental swab floor dry aisle,Sample_Type_SD,1,environmental swab,false,false
,environmental swab fom apple,Sample_Type_SD,1,environmental swab,false,false
,environmental swab from a cheese manufacturing plant,Sample_Type_SD,1,environmental swab,false,false
,environmental swab from a pet food plant,Sample_Type_SD,1,environmental swab,false,false
,environmental swab from a seafood manufacturer,Sample_Type_SD,1,environmental swab,false,false
,environmental swab from dairy plant,Sample_Type_SD,1,environmental swab,false,false
,environmental swab from distribution center,Sample_Type_SD,1,environmental swab,false,false
,environmental swab from equipment used for milking,Sample_Type_SD,1,environmental swab,false,false
,environmental swab from farm packing machine,Sample_Type_SD,1,environmental swab,false,false
,environmental swab from ice cream firm,Sample_Type_SD,1,environmental swab,false,false
,environmental swab from market,Sample_Type_SD,1,environmental swab,false,false
,environmental swab from poultry bedding,Sample_Type_SD,1,environmental swab,false,false
,environmental swab from ready to eat facility,Sample_Type_SD,1,environmental swab,false,false
,environmental swab from red meat like combinations,Sample_Type_SD,1,environmental swab,false,false
,environmental swab from refrigerator,Sample_Type_SD,1,environmental swab,false,false
,environmental swab glofe of dairy farm worker,Sample_Type_SD,1,environmental swab,false,false
,environmental swab lairage,Sample_Type_SD,1,environmental swab,false,false
,environmental swab manure belt,Sample_Type_SD,1,environmental swab,false,false
,environmental swab of a floor crack in a food processing establishment,Sample_Type_SD,1,environmental swab,false,false
,environmental swab of floor tiles in a food establishment,Sample_Type_SD,1,environmental swab,false,false
,environmental swab or sampling building abattoir or meat processing,Sample_Type_SD,1,environmental swab,false,false
