count,field,raw_value,normalized_value,status,current_standardized_value
2830,Environment (Broad Scale),bodily fluid material biome [ENVO:02000019],bodily fluid material biome envo 02000019,standardized,clinical/host-associated material
2753,Isolation Source,Animal-Turkey-Young Turkey (cecal),animal turkey young turkey,standardized,clinical/host-associated material
2735,Isolation Source,Animal-Swine-Sow (cecal),animal swine sow,standardized,clinical/host-associated material
2697,Isolation Source,Faecal,fecal,standardized,feces/stool
2691,Sample Type,environmental,environmental,standardized,environmental sample
2576,Isolation Source,environment,environment,standardized,environmental sample
2569,Isolation Source,single cell,single cell,standardized,single cell
2550,Sample Type,isolate,isolate,standardized,microbial isolate
2515,Isolation Source,liver,liver,standardized,clinical/host-associated material
2502,Isolation Source,human gut; stool,human gut stool,standardized,clinical/host-associated material
2489,Environment (Local Scale),stool,stool,standardized,gut/fecal local context
2475,Isolation Source,human listeriosis,human listeriosis,unmapped,
2472,Isolation Source,infant stool,infant stool,standardized,feces/stool
2401,Environment (Broad Scale),marine,marine,standardized,marine environment
2399,Isolation Source,pig,pig,unmapped,
2397,Isolation Source,mixed culture,mixed culture,standardized,mixed culture
2388,Isolation Source,stools,stools,standardized,feces/stool
2377,Isolation Source,Rectal Swab,rectal swab,standardized,clinical/host-associated material
2364,Isolation Source,intestine,intestine,standardized,clinical/host-associated material
2348,Isolation Source,Nose,nose,standardized,clinical/host-associated material
2348,Environment (Broad Scale),feces,feces,standardized,host-associated gut/oral/fecal environment
2301,Isolation Source,Poultry,poultry,unmapped,
2287,Isolation Source,Environment,environment,standardized,environmental sample
2270,Isolation Source,pure culture,pure culture,standardized,pure culture
2254,Environment (Local Scale),infant gut microbiome,infant gut microbiome,standardized,gut/fecal local context
2219,Environment (Broad Scale),oral metagenome,oral metagenome,standardized,host-associated gut/oral/fecal environment
2219,Host Disease,land animals:meat:pork,land animals meat pork,unmapped,
2215,Isolation Source,Perirectal Swab,perirectal swab,standardized,clinical/host-associated material
2188,Isolation Source,normally sterile site,normally sterile site,standardized,sterile body site
2183,Isolation Source,product-raw-intact-beef,product raw intact beef,standardized,beef/meat product
2148,Environment Medium,sea water,seawater,standardized,seawater
2144,Isolation Source,animal-cattle-heifer,animal cattle heifer,unmapped,
2081,Isolation Source,ruminant gastrointestinal tract,ruminant gastrointestinal tract,standardized,clinical/host-associated material
2078,Isolation Source,throat swab,throat swab,standardized,nasopharynx/oropharynx
2058,Environment (Broad Scale),human-associated habitat,human associated habitat,standardized,host-associated environment
2048,Environment (Local Scale),coastal,coastal,standardized,coastal area
2008,Environment (Local Scale),infant,infant,standardized,gut/fecal local context
1977,Sample Type,mixed culture,mixed culture,standardized,mixed culture
1972,Isolation Source,clinical samples,clinical samples,standardized,clinical sample
1968,Isolation Source,animal-swine-sow,animal swine sow,unmapped,
1964,Environment (Broad Scale),terrestrial biome [ENVO:00000446],terrestrial biome envo 00000446,standardized,terrestrial environment
1953,Isolation Source,lake water,lake water,standardized,lake water
1942,Environment Medium,soil,soil,standardized,soil
1933,Sample Type,Whole organism,whole organism,unmapped,
1905,Isolation Source,nose,nose,standardized,clinical/host-associated material
1884,Isolation Source,nasal,nasal,standardized,clinical/host-associated material
1879,Environment (Broad Scale),pig gut metagenome,pig gut metagenome,standardized,host-associated gut/oral/fecal environment
