count,field,raw_value,normalized_value,status,current_standardized_value
598,Isolation Source,human gut,human gut,standardized,clinical/host-associated material
595,Sample Type,human,human,standardized,feces/stool
593,Isolation Source,brain,brain,standardized,clinical/host-associated material
593,Environment Medium,ENVO:00001998,envo 00001998,standardized,soil
593,Environment Medium,sea ice,sea ice,standardized,sea ice
592,Isolation Source,equine,equine,unmapped,
592,Environment (Broad Scale),large freshwater lake biome [ENVO:00000891],large freshwater lake biome envo 00000891,standardized,freshwater environment
589,Isolation Source,Intensive Care Unit,intensive care unit,standardized,healthcare facility
588,Isolation Site,whole blood,whole blood,standardized,blood
586,Environment (Broad Scale),plant metagenome,plant metagenome,standardized,plant-associated environment
585,Isolation Source,"oropharynx, sputum, or bronchoalveolar lavage",oropharynx sputum or bronchoalveolar lavage,standardized,clinical fluid/material
583,Environment (Local Scale),ENVO:00002018,envo 00002018,unmapped,
579,Isolation Source,marine,marine,standardized,marine
575,Environment (Broad Scale),marine hydrothermal vent biome [ENVO:01000030],marine hydrothermal vent biome envo 01000030,standardized,marine environment
573,Isolation Source,Blood,blood,standardized,blood
573,Sample Type,Sputum,sputum,standardized,sputum
571,Environment (Broad Scale),sea ice,sea ice,standardized,marine environment
569,Isolation Source,Ice Core Section from Central Arctic Ocean,ice core section from central arctic ocean,standardized,ice core section from central arctic ocean
568,Isolation Source,Pork Chop,pork chop,standardized,pork/meat product
566,Isolation Source,Nursing home,nursing home,standardized,healthcare facility
558,Isolation Source,permafrost soil,permafrost soil,standardized,soil
556,Isolation Source,water pond,water pond,standardized,pond water
556,Isolation Source,deep-sea hydrothermal deposit,deep sea hydrothermal deposit,standardized,deep-sea hydrothermal deposit
553,Isolation Source,hot spring,hot spring,standardized,hot spring water
552,Isolation Source,food source,food source,standardized,food/food product
552,Isolation Source,Bronchoalveolar lavage fluid,bronchoalveolar lavage fluid,standardized,clinical fluid/material
549,Isolation Source,raw milk,raw milk,standardized,milk
549,Isolation Source,Pharynx,pharynx,standardized,nasopharynx/oropharynx
545,Environment (Local Scale),marine hydrothermal vent [ENVO:01000122],marine hydrothermal vent envo 01000122,unmapped,
545,Environment (Broad Scale),Hydrothermal vent,hydrothermal vent,standardized,geologic/extreme environment
542,Isolation Source,Nottingham,nottingham,standardized,Nottingham
542,Environment (Broad Scale),bioreactor [ENVO:00002123],bioreactor envo 00002123,standardized,wastewater/sewage
541,Isolation Source,BAL,bal,standardized,clinical fluid/material
541,Environment (Broad Scale),marine biome,marine biome,standardized,marine environment
540,Environment (Broad Scale),permafrost soil,permafrost soil,standardized,terrestrial environment
539,Environment (Local Scale),methane hotspot,methane hotspot,unmapped,
536,Isolation Source,cultured embryonic stem cells,cultured embryonic stem cells,standardized,cultured embryonic stem cells
535,Environment (Local Scale),skin of face,skin of face,unmapped,
534,Environment (Broad Scale),ocean_biome,ocean biome,standardized,marine environment
532,Isolation Site,Peripheral Blood,peripheral blood,standardized,blood
532,Environment Medium,deep-sea hydrothermal deposit,deep sea hydrothermal deposit,standardized,marine
531,Isolation Source,feces of wild boar,feces of wild boar,standardized,feces/stool
527,Isolation Source,cattle feces,cattle feces,unmapped,
527,Environment Medium,NCIT:C13234,ncit c13234,unmapped,
524,Isolation Source,Deciduous Forest,deciduous forest,standardized,deciduous forest
524,Environment (Local Scale),hospital,hospital,standardized,healthcare facility
523,Isolation Source,Oyster,oyster,standardized,Oyster
523,Environment Medium,Soil,soil,standardized,soil
523,Environment (Broad Scale),NCIT:C160991,ncit c160991,standardized,host-associated gut/oral/fecal environment
523,Environment (Local Scale),NCIT:C34082,ncit c34082,standardized,gut/fecal local context
522,Environment (Local Scale),Diffuse zone,diffuse zone,unmapped,
521,Host Disease,Breast Neoplasms,breast neoplasms,standardized,breast neoplasm
519,Isolation Source,Faecal sample,faecal sample,standardized,feces/stool
517,Sample Type,whole organism,whole organism,standardized,environmental sample
513,Isolation Source,Surveillance,surveillance,standardized,metadata descriptor/non-source
513,Isolation Source,metal,metal,standardized,metal
512,Isolation Source,Animal-Sheep-Lamb (cecal),animal sheep lamb,unmapped,
509,Isolation Source,Screening,screening,standardized,metadata descriptor/non-source
509,Sample Type,Culture,culture,standardized,culture
508,Isolation Source,skin lesion,skin lesion,standardized,clinical/host-associated material
508,Isolation Source,termite gut,termite gut,standardized,clinical/host-associated material
508,Host Disease,Pneumonia,pneumonia,standardized,pneumonia
506,Isolation Source,bone,bone,standardized,clinical/host-associated material
505,Isolation Source,cecal content,cecal content,standardized,clinical/host-associated material
505,Isolation Source,rumen,rumen,standardized,clinical/host-associated material
505,Isolation Source,Caecal Content,caecal content,standardized,clinical/host-associated material
505,Isolation Site,pancreas,pancreas,standardized,organ/tissue site
505,Host Disease,other,other,unmapped,
504,Isolation Source,antarctic soil,antarctic soil,standardized,soil
503,Environment Medium,soil [ENVO:00001998],soil envo 00001998,standardized,soil
502,Isolation Source,eye,eye,standardized,clinical/host-associated material
501,Isolation Source,abscess,abscess,standardized,abscess
500,Host Disease,Yersiniosis,yersiniosis,standardized,yersiniosis
497,Isolation Source,chicken meat,chicken meat,standardized,poultry meat/product
497,Isolation Source,Bacterial Isolate from bulk tank milk sample,bacterial isolate from bulk tank milk sample,standardized,milk
497,Isolation Source,Non-hospitalized person,non hospitalized person,unmapped,
496,Isolation Source,pulmonary sample from from cystic fibrosis patient,pulmonary sample from from cystic fibrosis patient,unmapped,
496,Isolation Source,marine hydrothermal vent,marine hydrothermal vent,standardized,marine
494,Isolation Site,Nasopharyngeal swab,nasopharyngeal swab,standardized,nasopharynx/oropharynx
492,Isolation Source,water kefir,water kefir,standardized,water
490,Environment (Local Scale),skin of forearm,skin of forearm,unmapped,
489,Environment Medium,water kefir,water kefir,standardized,water
489,Environment (Broad Scale),fermented beverage [FOODON_00001094],fermented beverage foodon 00001094,standardized,food-associated environment
489,Environment (Local Scale),water kefir,water kefir,unmapped,
488,Isolation Source,ground component turkey,ground component turkey,standardized,turkey meat/product
488,Environment (Broad Scale),estuarine biome,estuarine biome,standardized,estuarine environment
487,Isolation Source,Chicken Gizzard,chicken gizzard,unmapped,
486,Isolation Source,retail meat,retail meat,standardized,meat product
484,Host Disease,healthy,healthy,standardized,healthy/no disease reported
483,Environment (Local Scale),woodland biome,woodland biome,standardized,gut/fecal local context
483,Environment (Broad Scale),Freshwater,freshwater,standardized,freshwater environment
482,Isolation Source,dairy cattle manure,dairy cattle manure,unmapped,
481,Isolation Source,Chicken Liver (Giblets),chicken liver,standardized,clinical/host-associated material
479,Isolation Source,river,river,standardized,environmental material
479,Isolation Source,Whole Organism,whole organism,standardized,whole organism
479,Isolation Source,rhizosphere,rhizosphere,standardized,plant-associated material
477,Host Disease,carriage,carriage,unmapped,
476,Environment (Broad Scale),Sediment,sediment,standardized,aquatic sediment environment
474,Isolation Source,Chicken Heart,chicken heart,standardized,clinical/host-associated material
474,Isolation Source,URINE_CLEAN CATCH/VOIDED,urine clean catch voided,standardized,urine
474,Isolation Site,whole organism,whole organism,standardized,whole organism
474,Environment Medium,ENVO:00002018,envo 00002018,standardized,wastewater
473,Sample Type,Pure Culture,pure culture,standardized,pure culture
472,Environment Medium,Water,water,standardized,water
469,Isolation Source,Human bacterial culture,human bacterial culture,unmapped,
469,Isolation Source,oral metagenome,oral metagenome,standardized,clinical/host-associated material
469,Isolation Source,Assembly,assembly,standardized,metadata descriptor/non-source
469,Environment (Broad Scale),Bos indicus,bos indicus,standardized,host-associated gut/oral/fecal environment
468,Isolation Source,urine from catheter,urine from catheter,standardized,catheter
468,Environment Medium,estuarine water,estuarine water,standardized,estuarine water
467,Isolation Source,Farm,farm,standardized,farm
465,Isolation Source,Laboratory,laboratory,standardized,laboratory
465,Sample Type,Bacteria,bacteria,unmapped,
464,Isolation Source,physical,physical,standardized,Physical
464,Isolation Source,bloodstream,bloodstream,standardized,bloodstream
464,Host Disease,Tularemia,tularemia,standardized,tularemia
463,Isolation Source,cucumber,cucumber,standardized,plant/produce food product
463,Isolation Source,Oropharyngeal swab,oropharyngeal swab,standardized,oropharyngeal/throat swab
460,Isolation Source,canine,canine,unmapped,
460,Host Disease,Presumptive of C. difficile infection,presumptive of c. difficile infection,standardized,Clostridioides difficile infection
458,Environment Medium,tropical woodland biome,tropical woodland biome,unmapped,
458,Environment (Local Scale),skin of antecubital fossa,skin of antecubital fossa,unmapped,
457,Host Health State,sick,sick,standardized,diseased
456,Isolation Source,core,core,standardized,core
456,Environment (Broad Scale),marine pelagic biome,marine pelagic biome,standardized,marine environment
455,Isolation Source,kidney,kidney,standardized,clinical/host-associated material
455,Isolation Source,leaves,leaves,standardized,leaf tissue
455,Isolation Source,"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)",saline water including plankton,standardized,saline/brine water
454,Isolation Source,fish gut,fish gut,standardized,clinical/host-associated material
454,Isolation Source,Human infection,human infection,unmapped,
453,Environment (Broad Scale),hot spring [ENVO:00000051],hot spring envo 00000051,standardized,geologic/extreme environment
453,Environment (Broad Scale),coral biome,coral biome,unmapped,
452,Sample Type,Bacterial Culture,bacterial culture,standardized,bacterial culture
451,Sample Type,whole organism,whole organism,standardized,blood
450,Environment (Local Scale),UBERON_0004983,uberon 0004983,unmapped,
449,Isolation Source,Agricultural,agricultural,standardized,Agricultural
449,Isolation Source,blood cultures,blood cultures,standardized,blood
449,Environment (Local Scale),offshore,offshore,unmapped,
447,Isolation Source,Respiratory specimens,respiratory specimens,standardized,respiratory sample
447,Environment (Local Scale),open ocean,open ocean,unmapped,
445,Isolation Source,swine,swine,unmapped,
445,Environment Medium,active layer soil,active layer soil,standardized,soil
444,Isolation Source,irrigation canal,irrigation canal,standardized,irrigation canal
444,Isolation Source,isolate,isolate,standardized,microbial isolate
444,Isolation Source,single cell amplified by WGA-X; seawater,single cell amplified by wga x seawater,standardized,seawater
443,Host Disease,Healthy,healthy,standardized,healthy/no disease reported
442,Sample Type,DNA,dna,standardized,DNA extract
441,Isolation Source,farm,farm,standardized,farm
440,Isolation Source,duck,duck,unmapped,
439,Host Disease,syphilis,syphilis,standardized,syphilis
438,Isolation Site,Saliva,saliva,standardized,oral cavity
433,Isolation Site,liver,liver,standardized,organ/tissue site
432,Sample Type,pure cultures of bacteria,pure cultures of bacteria,standardized,pure/single culture
432,Sample Type,Whole Organism,whole organism,unmapped,
432,Environment (Broad Scale),anaerobic digester metagenome,anaerobic digester metagenome,unmapped,
430,Isolation Source,RTE Product,rte product,standardized,food/food product
426,Isolation Source,cecum,cecum,standardized,clinical/host-associated material
425,Isolation Source,anthropogenic,anthropogenic,standardized,anthropogenic
425,Isolation Source,nasal cavity,nasal cavity,standardized,clinical/host-associated material
425,Environment Medium,saliva,saliva,unmapped,
425,Environment (Local Scale),Human feces,human feces,standardized,gut/fecal local context
424,Isolation Site,Skin,skin,standardized,skin/body surface
421,Isolation Source,Nasal cavity,nasal cavity,standardized,clinical/host-associated material
421,Environment Medium,biofilm,biofilm,standardized,biofilm
420,Isolation Source,spleen,spleen,standardized,clinical/host-associated material
419,Isolation Source,gill,gill,standardized,gill
416,Isolation Source,trachea,trachea,standardized,clinical/host-associated material
416,Isolation Source,NP Swab,np swab,standardized,nasopharynx/oropharynx
416,Environment (Broad Scale),food,food,standardized,food-associated environment
416,Environment (Broad Scale),Human bacterial culture,human bacterial culture,unmapped,
415,Isolation Source,dog,dog,unmapped,
415,Isolation Source,skin swab,skin swab,standardized,clinical/host-associated material
413,Isolation Source,Animal-Sheep-Mature Sheep (cecal),animal sheep mature sheep,unmapped,
411,Isolation Source,Pork (cecal content),pork,standardized,clinical/host-associated material
411,Isolation Source,WT Mouse intestinal epithelial cells,wt mouse intestinal epithelial cells,standardized,clinical/host-associated material
409,Isolation Source,Aquatic products,aquatic products,standardized,Aquatic products
409,Isolation Source,bloodstream isolates,bloodstream isolates,standardized,bloodstream
409,Sample Type,bacterial isolate,bacterial isolate,standardized,microbial isolate
407,Isolation Source,poultry,poultry,unmapped,
407,Isolation Source,Water from Urban Wastewater,water from urban wastewater,standardized,wastewater
407,Isolation Source,body swab,body swab,standardized,clinical/host-associated material
406,Isolation Source,blood/CSF,blood csf,standardized,cerebrospinal fluid
406,Host Disease,Clostridium difficile Infections,clostridium difficile infections,standardized,Clostridioides difficile infection
404,Environment (Local Scale),Grassland,grassland,unmapped,
403,Isolation Source,gastrointestinal tract,gastrointestinal tract,standardized,clinical/host-associated material
402,Isolation Source,Human Stool,human stool,unmapped,
402,Isolation Source,freshwater biome [ENVO:00000873],freshwater biome envo 00000873,standardized,freshwater
401,Sample Type,Metagenomic assembly,metagenomic assembly,standardized,metagenomic assembly
400,Isolation Source,avian,avian,unmapped,
400,Isolation Source,cattle manure,cattle manure,unmapped,
400,Environment (Local Scale),activated sludge [ENVO:00002046],activated sludge envo 00002046,standardized,activated sludge
399,Environment Medium,Grassland,grassland,standardized,soil
398,Isolation Source,lungs,lungs,standardized,clinical/host-associated material
398,Host Disease,cystic fibrosis,cystic fibrosis,standardized,cystic fibrosis
397,Isolation Source,nodule,nodule,standardized,plant-associated material
396,Environment (Local Scale),human oral,human oral,unmapped,
394,Environment (Broad Scale),human oral,human oral,standardized,host-associated environment
392,Isolation Source,Pleural fluid,pleural fluid,standardized,clinical fluid/material
392,Sample Type,genomic DNA,genomic dna,standardized,DNA extract
391,Isolation Source,canal water,canal water,standardized,canal
391,Environment (Broad Scale),sludge [ENVO:00002044],sludge envo 00002044,standardized,wastewater/sewage
388,Isolation Source,boneless beef,boneless beef,standardized,beef/meat product
388,Isolation Source,hot spring water,hot spring water,standardized,hot spring water
388,Environment (Broad Scale),Wine,wine,unmapped,
387,Isolation Source,Feces swab,feces swab,standardized,feces/stool
386,Isolation Source,Produced fluids from hydraulically fractured shales,produced fluids from hydraulically fractured shales,standardized,produced fluids from hydraulically fractured shales
385,Isolation Source,SWAB_WOUND,swab wound,standardized,wound
385,Environment (Broad Scale),food material (FOODON:00002403),food material,standardized,food-associated environment
384,Environment (Broad Scale),urban biome [ENVO:01000249],urban biome envo 01000249,standardized,built/urban environment
384,Environment (Local Scale),Gut,gut,standardized,gut/fecal local context
383,Isolation Site,BLOOD,blood,standardized,blood
381,Environment Medium,Microcystis colony,microcystis colony,standardized,freshwater
380,Isolation Source,creek water,creek water,standardized,freshwater
378,Environment Medium,Urban Wastewater,urban wastewater,standardized,wastewater
378,Environment (Broad Scale),Water,water,standardized,wastewater/sewage
378,Environment (Local Scale),Urban Wastewater,urban wastewater,standardized,urban area
376,Isolation Source,water filtration membrane,water filtration membrane,standardized,water
376,Isolation Source,pharyngeal exudate,pharyngeal exudate,standardized,nasopharynx/oropharynx
376,Isolation Site,nasopharynx,nasopharynx,standardized,nasopharynx/oropharynx
375,Isolation Source,RECTAL,rectal,standardized,clinical/host-associated material
375,Isolation Source,Companion animal,companion animal,unmapped,
374,Isolation Source,Fluid,fluid,standardized,body fluid
374,Isolation Source,Screening swab,screening swab,standardized,metadata descriptor/non-source
373,Isolation Source,seafood,seafood,standardized,seafood/aquatic food product
373,Sample Type,Microbe,microbe,standardized,microbial isolate
371,Isolation Source,dairy milk,dairy milk,standardized,dairy milk
371,Environment (Broad Scale),soil,soil,standardized,terrestrial environment
370,Isolation Source,ice cream,ice cream,standardized,ice cream
369,Environment (Broad Scale),fish gut microbiome,fish gut microbiome,standardized,host-associated gut/oral/fecal environment
369,Isolation Source,mangrove wetland sediment,mangrove wetland sediment,standardized,sediment
368,Host Disease,Dairy Products,dairy products,unmapped,
368,Environment (Local Scale),intestine environment [ENVO:2100002],intestine environment envo 2100002,standardized,gut/fecal local context
368,Isolation Source,gastric biopsy,gastric biopsy,standardized,gastric biopsy
366,Isolation Source,Gastric Biopsy,gastric biopsy,standardized,gastric biopsy
365,Isolation Source,poultry manure,poultry manure,unmapped,
365,Environment Medium,fecal environment [ENVO:01001029],fecal environment envo 01001029,standardized,wastewater
365,Environment Medium,stone,stone,standardized,biofilm
365,Environment (Broad Scale),Enrichment culture biofilms,enrichment culture biofilms,standardized,marine environment
365,Environment (Local Scale),Enrichment culture biofilms,enrichment culture biofilms,unmapped,
363,Isolation Source,fecal stool,fecal stool,standardized,feces/stool
363,Environment (Broad Scale),mangrove wetland,mangrove wetland,standardized,aquatic sediment environment
362,Isolation Source,liver abscess,liver abscess,standardized,clinical fluid/material
362,Isolation Source,"Feces, Gull (Larus spp.)",feces gull,standardized,feces/stool
361,Environment Medium,Cheese (FOODON:00001013),cheese,standardized,dairy food
360,Isolation Source,WOUND/ABSCESS,wound abscess,standardized,abscess
359,Isolation Source,Filtered Seawater,filtered seawater,standardized,seawater
356,Isolation Source,microbial community [PCO:1000004],microbial community pco 1000004,standardized,metadata descriptor/non-source
356,Isolation Source,Meriones unguiculatus,meriones unguiculatus,standardized,Meriones unguiculatus
355,Isolation Source,human - faeces,human faeces,unmapped,
355,Environment (Broad Scale),insect metagenome,insect metagenome,unmapped,
353,Isolation Source,Sink,sink,standardized,sink
351,Isolation Source,pond,pond,standardized,pond water
350,Host Disease,Clostridioides difficile infection,clostridioides difficile infection,standardized,Clostridioides difficile infection
350,Host Disease,Leptospirosis,leptospirosis,standardized,leptospirosis
349,Environment (Broad Scale),subsurface metagenome,subsurface metagenome,unmapped,
347,Isolation Source,oral,oral,standardized,clinical/host-associated material
347,Isolation Source,dental plaque,dental plaque,standardized,clinical/host-associated material
346,Isolation Source,lymph node,lymph node,standardized,clinical/host-associated material
346,Isolation Source,chicken litter,chicken litter,unmapped,
346,Isolation Source,Římov reservoir,mov reservoir,standardized,Římov reservoir
344,Environment Medium,fecal material [ENVO:00002003],fecal material envo 00002003,standardized,wastewater
343,Isolation Source,"Human, Blood",human blood,unmapped,
343,Isolation Source,Faeces,feces,standardized,feces/stool
342,Isolation Source,Pork meat,pork meat,standardized,pork/meat product
342,Isolation Source,Stream,stream,standardized,stream
342,Isolation Source,urine specimen,urine specimen,standardized,urine
342,Host Disease,type II diabetes mellitus,type ii diabetes mellitus,standardized,diabetes mellitus
341,Environment (Local Scale),hot spring [ENVO:00000051],hot spring envo 00000051,standardized,hot spring
340,Isolation Site,Gastric,gastric,standardized,gastrointestinal tract
339,Isolation Source,tracheal secretion,tracheal secretion,standardized,tracheal aspirate
339,Host Disease,NSCLC,nsclc,standardized,lung neoplasm
339,Isolation Source,Baltic Sea water,baltic sea water,standardized,seawater
339,Environment Medium,Bare Land,bare land,standardized,soil
339,Environment (Local Scale),Bare Land,bare land,unmapped,
339,Host Disease,Lyme disease,lyme disease,standardized,Lyme disease
338,Isolation Source,Canal water,canal water,standardized,canal
338,Environment Medium,Urine,urine,unmapped,
336,Sample Type,Clinical isolate,clinical isolate,standardized,clinical sample
336,Environment (Broad Scale),brackish environment,brackish environment,standardized,marine environment
336,Environment (Local Scale),Baltic Sea,baltic sea,unmapped,
335,Isolation Source,biofilm from sulfidic cave,biofilm from sulfidic cave,standardized,biofilm
333,Isolation Source,Animal-Chicken-Heavy Fowl,animal chicken heavy fowl,unmapped,
333,Isolation Source,estuary,estuary,standardized,estuary
333,Isolation Source,cervix,cervix,standardized,clinical/host-associated material
330,Host Disease,diphtheria,diphtheria,standardized,diphtheria
329,Isolation Source,potato,potato,standardized,plant/produce food product
329,Host Disease,Brucellosis,brucellosis,standardized,brucellosis
328,Isolation Source,Soil from Natural Forests,soil from natural forests,standardized,soil
328,Environment (Broad Scale),sulfidic caves | thermophilic | subsurface | microaerophilic,sulfidic caves thermophilic subsurface microaerophilic,unmapped,
328,Environment (Local Scale),sulfidic cave,sulfidic cave,standardized,cave
327,Isolation Source,Prawns,prawns,standardized,prawn product
327,Environment (Local Scale),Bladder,bladder,unmapped,
327,Environment (Broad Scale),activated sludge metagenome,activated sludge metagenome,standardized,wastewater/sewage
325,Environment (Local Scale),digestive tract environment [ENVO:01001033],digestive tract environment envo 01001033,standardized,gut/fecal local context
325,Environment Medium,Natural Forests,natural forests,standardized,soil
325,Environment (Local Scale),Natural Forests,natural forests,unmapped,
324,Isolation Source,Wastewater influent,wastewater influent,standardized,wastewater
324,Environment Medium,swab,swab,unmapped,
323,Isolation Source,Sewage,sewage,standardized,sewage
323,Isolation Site,feces [UBERON:0001988],feces uberon 0001988,standardized,feces/stool
323,Environment (Broad Scale),sediment metagenome,sediment metagenome,standardized,aquatic sediment environment
322,Isolation Site,lung,lung,standardized,lower respiratory tract/bronch/pleural cavity
322,Isolation Source,forest soil,forest soil,standardized,soil
321,Isolation Source,secretion,secretion,standardized,secretion
321,Isolation Source,Cattle faeces,cattle faeces,unmapped,
321,Sample Type,whole organism,whole organism,standardized,leaves
320,Environment (Broad Scale),freshwater,freshwater,standardized,freshwater environment
319,Isolation Source,kratom,kratom,standardized,kratom
319,Host Disease,Clostridium difficile Infection,clostridium difficile infection,standardized,Clostridioides difficile infection
318,Isolation Source,fluff,fluff,standardized,fluff/lint material
318,Isolation Source,activated sludge,activated sludge,standardized,sewage
317,Isolation Source,plant,plant,standardized,plant-associated material
317,Environment (Broad Scale),wastewater metagenome,wastewater metagenome,standardized,wastewater/sewage
315,Isolation Source,vaginal swab,vaginal swab,standardized,clinical/host-associated material
315,Isolation Source,Anal swab,anal swab,standardized,clinical/host-associated material
315,Isolation Source,Hospital,hospital,standardized,healthcare facility
315,Isolation Site,Blood Derived Normal,blood derived normal,standardized,blood
315,Environment Medium,Gut microbiome,gut microbiome,unmapped,
315,Host Disease,legionellosis,legionellosis,standardized,legionellosis
315,Host Disease,melioidosis,melioidosis,standardized,melioidosis
313,Sample Type,whole organism,whole organism,standardized,milk
313,Environment (Broad Scale),marine sediment metagenome,marine sediment metagenome,standardized,aquatic sediment environment
312,Isolation Source,Sterile Site,sterile site,standardized,sterile body site
311,Isolation Source,ground component chicken,ground component chicken,standardized,ground chicken
311,Isolation Source,pharynx,pharynx,standardized,nasopharynx/oropharynx
309,Isolation Source,goat,goat,unmapped,
309,Isolation Source,human blood,human blood,unmapped,
309,Isolation Source,Dairy farm,dairy farm,standardized,dairy food
309,Environment (Local Scale),Gut microbiome,gut microbiome,standardized,gut/fecal local context
309,Isolation Site,Gastric,gastric,unmapped,
308,Isolation Source,placenta,placenta,standardized,clinical/host-associated material
307,Isolation Source,"human, animal or environmental",human animal or environmental,standardized,environmental material
307,Isolation Source,nasopharynx/oropharynx,nasopharynx oropharynx,standardized,nasopharynx/oropharynx
306,Isolation Source,pork chop,pork chop,standardized,pork/meat product
306,Isolation Source,tracheal aspirates from patient ventilator,tracheal aspirates from patient ventilator,unmapped,
306,Host Disease,gastroenteritis,gastroenteritis,standardized,gastroenteritis
306,Isolation Source,Human vagina,human vagina,standardized,clinical/host-associated material
305,Isolation Source,carcass,carcass,standardized,poultry meat/product
305,Isolation Source,Irrigation Canal,irrigation canal,standardized,irrigation canal
305,Isolation Source,Pork Chops,pork chops,standardized,pork/meat product
305,Host Disease,Health care-associated infection,health care associated infection,standardized,healthcare-associated infection
305,Environment (Broad Scale),aquatic biome [ENVO:00002030],aquatic biome envo 00002030,standardized,wastewater/sewage
304,Isolation Source,Production environment,production environment,standardized,environmental sample
304,Environment Medium,Artificial Surfaces,artificial surfaces,standardized,soil
304,Environment (Local Scale),Artificial Surfaces,artificial surfaces,unmapped,
304,Environment Medium,Activated Sludge [ENVO:00002046],activated sludge envo 00002046,standardized,sewage
304,Environment (Local Scale),Waste Water [ENVO:00002001],waste water envo 00002001,standardized,activated sludge
303,Isolation Site,leaves,leaves,standardized,leaf tissue
301,Isolation Source,Nare,nare,standardized,clinical/host-associated material
301,Host Disease,scleroderma,scleroderma,standardized,scleroderma
301,Host Health State,scleroderma,scleroderma,standardized,diseased
300,Isolation Source,Chicken faeces,chicken faeces,unmapped,
299,Isolation Source,bovine manure,bovine manure,standardized,manure
299,Isolation Source,surface layer,surface layer,standardized,surface layer
299,Environment (Broad Scale),water,water,standardized,geologic/extreme environment
299,Sample Type,nasopharyngeal swab,nasopharyngeal swab,standardized,nasopharyngeal swab
298,Isolation Source,sputum or oropharyngeal,sputum or oropharyngeal,standardized,nasopharynx/oropharynx
298,Environment (Local Scale),rumen,rumen,unmapped,
297,Isolation Source,Animal-Calf-Bob Veal (cecal),animal calf bob veal,standardized,clinical/host-associated material
297,Isolation Source,nose; prosthetic joint infection,nose prosthetic joint infection,standardized,clinical/host-associated material
296,Isolation Source,Wound Swab,wound swab,standardized,wound
296,Host Disease,Chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,standardized,respiratory disease
296,Environment Medium,hotspring water,hotspring water,standardized,spring water
296,Environment (Local Scale),hotspring,hotspring,standardized,hot spring
295,Isolation Source,sludge,sludge,standardized,sludge
295,Sample Type,FFPE,ffpe,standardized,FFPE tissue
295,Environment Medium,surface layer,surface layer,unmapped,
295,Isolation Source,mosquito,mosquito,unmapped,
295,Environment (Local Scale),dairy food product (FOODON:00001256),dairy food product,standardized,cave
294,Isolation Source,spinach,spinach,standardized,plant/produce food product
294,Isolation Source,intensive care unit,intensive care unit,standardized,healthcare facility
292,Isolation Source,human feces,human feces,unmapped,
292,Isolation Source,activated sludge [ENVO:00002046],activated sludge envo 00002046,standardized,sewage
291,Isolation Source,Pork from supermarket,pork from supermarket,standardized,pork/meat product
291,Isolation Source,WOUND_OTHER,wound other,standardized,wound
291,Isolation Source,tooth,tooth,standardized,clinical/host-associated material
290,Isolation Source,ear discharge,ear discharge,standardized,clinical/host-associated material
290,Environment (Broad Scale),ENVO:00000428,envo 00000428,unmapped,
290,Environment (Broad Scale),Sink,sink,unmapped,
289,Isolation Source,Human sample,human sample,unmapped,
289,Isolation Source,intestines,intestines,standardized,clinical/host-associated material
289,Isolation Source,urinary tract,urinary tract,standardized,urine
289,Isolation Source,root nodules,root nodules,standardized,plant-associated material
289,Host Disease,environmental,environmental,unmapped,
288,Isolation Source,human - bacteraemia,human bacteraemia,unmapped,
288,Isolation Source,sink drain,sink drain,standardized,drain
287,Isolation Source,Uppsala Univeristy Hospital,uppsala univeristy hospital,standardized,healthcare facility
287,Isolation Source,isolate from patient sample,isolate from patient sample,unmapped,
286,Isolation Source,Environmental: food-contact surface,environmental food contact surface,standardized,environmental material
286,Isolation Source,human oral metagenome,human oral metagenome,standardized,clinical/host-associated material
285,Isolation Source,catheter,catheter,standardized,catheter
284,Isolation Source,feces bovine,feces bovine,standardized,feces/stool
284,Isolation Source,body fluid,body fluid,standardized,body fluid
284,Environment Medium,microbial mat|sediment,microbial mat sediment,standardized,sediment
283,Isolation Source,Gut,gut,standardized,clinical/host-associated material
283,Isolation Source,Raw Milk,raw milk,standardized,milk
283,Isolation Source,Environmental strain,environmental strain,standardized,environmental material
283,Isolation Source,human sputum,human sputum,unmapped,
282,Isolation Source,biological fluid or and tissue,biological fluid or and tissue,standardized,body fluid
282,Isolation Source,soft tissue,soft tissue,standardized,tissue
281,Isolation Source,Wound/skin swab,wound skin swab,standardized,wound
281,Environment Medium,Yogurt,yogurt,standardized,dairy food
281,Sample Type,Whole organism,whole organism,standardized,feces/stool
280,Isolation Source,Oral,oral,standardized,clinical/host-associated material
279,Isolation Source,Oysters,oysters,standardized,Oyster
278,Isolation Source,Secretion,secretion,standardized,secretion
278,Host Disease,hospital acquired infection,hospital acquired infection,standardized,healthcare-associated infection
278,Environment (Broad Scale),environmental system [ENVO_01000254]|temperate environment [ENVO_01001705]|rhizosphere environment [ENVO_01000999],environmental system envo 01000254 temperate environment envo 01001705 rhizosphere environment envo 01000999,standardized,plant-associated environment
278,Environment (Local Scale),root matter [ENVO_01000349],root matter envo 01000349,unmapped,
277,Isolation Source,nasal wash,nasal wash,standardized,clinical/host-associated material
277,Host Disease,normal,normal,standardized,healthy/no disease reported
276,Isolation Source,metagenome,metagenome,standardized,metagenome
276,Isolation Source,Wastewater treatment plant,wastewater treatment plant,standardized,plant-associated material
