count,isolation_source_sd
253023,feces/stool
179430,clinical/host-associated material
126784,blood
77069,poultry meat/product
70531,urine
46780,sterile body site
38885,metadata descriptor/non-source
36397,environmental material
34759,clinical sample
34381,sputum
32761,nasopharynx/oropharynx
26815,soil
26638,food/food product
26625,healthcare facility
20924,wound
15126,plant-associated material
14783,pork/meat product
14314,beef/meat product
13908,turkey meat/product
12012,water
10998,respiratory sample
10871,whole organism
10603,sediment
10053,cell culture
9615,wastewater
9375,body fluid
9205,milk
7152,tissue
6594,environmental sample
6559,culture
6555,plant/produce food product
6190,cerebrospinal fluid
6144,seawater
5973,dairy food
5891,clinical fluid/material
5631,farm
5069,sewage
5067,meat product
4928,swab
4282,lake water
4130,surface
3992,abscess
3857,seafood/aquatic food product
3841,urban
3633,freshwater
3622,laboratory
3324,pure culture
3222,microbial isolate
3213,single cell
3107,stream
2932,metagenome
2822,broiler
2783,gastric biopsy
2638,tracheal aspirate
2564,pus
2417,aspirate
2410,mixed culture
2292,fecal/stool swab
2226,Oyster
2214,pond water
2114,catheter
2093,canal
2014,leaf tissue
1971,marine
1919,groundwater
1842,bacterial culture
1837,hot spring water
1829,secretion
1760,groin
1710,drainage
1676,manure
1572,spore release material
1525,biofilm
1478,biopsy
1467,environmental water
1466,sample
1453,cloacal swab
1446,marine sediment
1405,drain
1292,shrimp
1266,hospital wastewater
1206,sludge
1192,sink
1141,core
1133,Citrus leaf
1127,bloodstream
1117,healthcare-associated environment
1104,Cheese rind
1103,pure/single culture
1100,bile
1002,terrestrial environment
933,rectovaginal site
910,hospital sewage
893,salmon
893,Marmota himalayana
835,irrigation canal
773,metal
739,environmental swab
680,air
672,ground chicken
667,food/animal-production swab
662,Physical
644,sponge
640,enrichment culture
624,oropharyngeal/throat swab
613,leachate
605,ice cream
597,fermented food/beverage
590,Aquatic products
589,gill
571,deciduous forest
569,ice core section from central arctic ocean
568,deep-sea hydrothermal deposit
567,estuary
545,metadata descriptor / non-source
542,dairy milk
542,Nottingham
541,built-environment water
536,cultured embryonic stem cells
523,kratom
518,drinking/distribution water
517,glacier
512,enoki mushroom
507,DNA extract
506,plant root/rhizosphere
501,saline/brine water
487,cubital fossa
480,surface layer
458,wood
449,Agricultural
446,water column
434,avocado
433,cloacal sample
425,anthropogenic
421,produced fluids from hydraulically fractured shales
410,ascites
395,anaerobic digester
393,prawn product
380,built environment surface
377,plant stem
370,fish
370,wildlife
357,Meriones unguiculatus
348,cilantro
346,Římov reservoir
335,fluff/lint material
311,Gastric
299,peanut butter
294,compost
292,dust
277,whole genome sequencing sample
273,respiratory swab
272,Guyana
271,endovascular
270,leafy greens
268,tree nut
263,wound/lesion/abscess swab
257,cold seep
253,Buffy Coat
241,irrigation water
238,Whole polyp cell suspension neuron
225,domestic wastewater
211,Ruminal microbiome of Nelore
210,nodules
210,estuarine water
208,China:Shenzhen
200,catfish product
198,decomposed grub time point 2
198,Southern Sea Otter
197,lesion
187,digestive system
187,H�pitaux Universitaires - Henri Mondor
185,Layers
185,South Tunisia
184,ENVO:00000114
179,sea ice
179,marine shellfish
178,mud
177,urea
177,retail deli
176,genital
174,Bovine hide
174,excreted bodily substance
173,rodent
170,host-associated
168,surgical site
167,Inshell pistachio from a storage silo
166,spring water
165,slurry
165,Community
165,Extraintestinal sites
164,Western Australia
163,Chick paper
160,cryoconite
159,ant-built patch
159,medical
158,culture/isolate
156,MRSA screen
156,Lyophilized powder resuscitation
156,Smear
156,corn dry-grind fuel ethanol facility
155,Coral skeleton
153,Cleanroom
152,Slaughterhouse
151,emissingophyte
150,bacteriomes
148,WWTP
147,viscera
144,egg raw whole
144,sesame seed
144,Norway
144,Bioreactor
144,Health Facility
143,feaces
143,mediterranean [ENVO:01000207]
143,Seed
143,rock
142,Right-Forearm
141,feed
139,Product-Raw-Intact-Siluriformes
139,phloem
138,Ocean
137,Animal-Calf-Bob Veal
137,Room Env
136,ENVO:01001829
134,larvae
134,Peat samples collected from the inside of the SPRUCE enclosures
133,joint
131,leafy green
130,Primary Tumor
129,Input used in hydraulically fractured shales
129,France
129,Intertidal zone
129,forest ecosystem
127,Feed
127,agricultural/aquaculture water
127,BMDM
126,sebum
124,subgingival plaque
124,clinic
123,Wild Animal
122,Larus cachinnans
122,agricultural ecosystem [ENVO:00000077]
122,rhizoplane
121,Uncertain
121,pens
121,Liquor
121,kiwifruit
121,hepatopancreas
120,Hogs
120,Pigs
120,Spermophilus dauricus
116,ETA
115,Corneal scraping
115,Indoor biome
114,yolk sac
114,Plumbing
113,excreta
113,veterinary
112,animal by-product
112,Whole - cut in lab
112,ENVO_00005801
112,seed
112,rhizhosphere
111,grain
110,Creek
110,Anal
110,caudal half
109,wet market
109,clinical swab
109,tidal flat sediment
108,organic material
108,Marmota baibacina
107,Laying hens
107,MSF-NIGER
107,Fin
106,outflow from WWTP
105,rhizoplane [ENVO_01001181]
104,Ulcer
103,Corneal Scraping
103,geologic/produced water
103,Subsurface cyanoHAB grab filtered through 64 um plankton net
102,Rice straw
101,culture medium
101,ENVO:01000020
101,L_thumb
101,clean room of pharmaceutical factory
101,biomass from liquid digestate stored in the CSTR at the Surrey Biofuel Facility
101,Beach sand
100,Kathmandu
100,Left-Forearm
100,Klíčava reservoir
100,brackish water
100,Pelagic
100,pickle
99,Dam
99,hemoculture
99,Cropland
97,dam
97,Livestock
97,Sputamentum
97,agricultural field
97,ocean
97,sourdough
96,Bovine Subiliac Lymph Nodes
96,inflow to WWTP
96,cornea
96,International Space Station during MT-2
96,Nanchang
96,Callopsylla dolabris
94,Coecum
93,goose
93,Toeweb
93,osteoarticular
92,ENVO:01001055
92,Melanoma cell line
91,cat
91,Not Given
91,"Deciduous woodland, University campus"
91,Bathymodiolus septemdierum
90,Animal-Calf-Formula-fed Veal
90,frontal cortex
90,travertine gravel
89,pistachio
89,muscle
89,Draining-Matting Conveyor
89,R_thumb
88,Faces
88,produced water
87,Yolk sac
87,Supermarket
86,EPIDERMAL PADDLE
86,decomposed grub time point 1
85,animal feed
85,Humanbody
84,liquor
84,Commercial dietary supplements
84,aquatic biome
83,egg raw yolk
83,coastal city
83,fetilized topsoil
82,onion
82,ENVO:00000022
82,sea
81,Clinic
81,hide
81,medical center in Taiwan
81,kelp seedling ponds
80,peach tree
80,caeca content
80,egg
80,Embryo
80,State of Palestine: West Bank
80,Bed rails
80,Žlutice reservoir
78,finished fertilizer
78,chili powder
78,internal-site swab
78,bioreactor
77,sesame seed paste
77,mesenteric lymph nodes
77,sausage
77,Temperate broadleaf and mixed forest
77,Abattoir Ceacum
76,supermarket
76,03C Raw Product Not Ground-Trimmings
76,Litter
76,Wild boar
76,lagoon
76,jejunum
76,Anal Gland secretions
76,hindgut
76,cell line
76,Cooling Tower
75,chick paper
75,septic tank
75,commercial kitchen
74,flour
74,flower
74,Whole polyp cell suspension GFPlow/RFPlow
73,Joint
73,mud/sediment
72,agricultural/food-production water
72,crop
72,turtle
72,Glove
72,Vacuum Dustbin
71,Pasture
71,ENVO:01001000
71,whole body
71,grain product
71,Cognac
71,fat body
70,organs
70,"the top hill,in the forest"
69,creek
69,Inguinal
69,agriculture
69,ulcer
69,Tracheal
69,probiotic product
69,AnMBR reactor
68,coriander powder
68,powdered infant formula
67,peppercorn
67,extraintestinal site
67,ENVO:03501134
67,puddle
67,fermented food
67,Oropsylla silantiewi
66,HVS
66,Broncho-alveolar lavage
66,algae
65,raw product
65,Wild Bird
65,Salami
65,ThroatNasal
65,bagged salad mixture
65,cuban sandwich
65,hydrothermal vent
64,slaughterhouse
64,fermented milk/dairy product
64,Mouse embryonic cells
64,Madrid
64,ballast tank
64,Anaerobic reactor
64,forestomach
63,"""drag swabs, Gallus gallus domesticus"""
63,Lamb
63,seeds
63,femus
63,abcess
63,Rotting apple
63,mWWTPs outlet
63,Burn
63,tree bark
63,"Yiwu, Zhejiang, China"
63,CNR Borrelia - Pasteur Institute
62,salad
62,Grassland
62,DTA
62,N
62,South Pacific Ocean
62,Japanese pickles
62,Archaean Domes Dome-shaped microbial mat at 0-10 cm depth
61,Ducks
61,Bladder
61,semen
60,macadamia nut
60,horse
60,Harbour / creek
60,Orchard
60,e9.5 right ventricle
59,purified colonies
59,forest
59,Yolk Sac
59,screen
59,Digesta
59,agricultural biome
59,P
59,ice sheet [ENVO_00000132]
59,[ENVO_01000249]
58,basil
58,lamb
58,WWTP inflow Grand Prado
58,Foremilk
58,Ifremeria nautilei
57,hulled sesame seed
57,jalapeno pepper
57,scat
57,field
57,Lesion
57,Caeca
57,China:Yangzhou
57,Secreta
57,South Atlantic Ocean
56,flour/flour products
56,retail store
56,standard
56,MRSA [Broth]
56,STERILE BODY SITE
55,Grey seal pup; live wild
55,mWWTPs inflow
55,Silage
55,Eastern Africa Coastal Province
55,ventilators
55,Switzerland
54,salami
54,flush slurry
54,Uterine
54,Exudate
54,Stromatolite
53,lab
53,VDG
53,Naris
53,catheteruria
53,habitat
53,Unknow
53,No source bacteriemia
53,Litopenaeus vannamei
53,Microtus fuscus
53,pyropia
52,tahini sesame seed paste
52,INTEST_CONTENTS
52,bedside tables
52,coral
52,Digital dermatitis lesion
51,sprout
51,LBC
51,"Huiquan Bay, Qingdao"
51,Household swabs
51,seedling
51,formation fluids from subseafloor aquifer collected in 2012 through 2014
50,infraorbital sinuses
50,Channel catfish
50,rabbit
50,Chick Paper
50,cabbage
50,Troups Creek Wetland
50,eces
50,Baby Wipes
49,parsley
49,Lab
49,Surgical site
49,insect
49,Ganjang
49,Chinese sausage
49,Apple dumpster
48,frozen tilapia
48,wheat
48,Ruijin Hosiptal
48,Calf
48,Tongue
48,sterile
48,Anorectal
48,Cooling tower
48,resected colorectal tumor
47,LIVESTOCK FEED
47,tilapia
47,fox
47,Lab generated
47,secreta
47,Domestic animal
47,egg salad
47,Ward
47,ENVO:00010483
47,airway
47,bacteriome
46,serrano pepper
46,chromosome
46,Rice seed
46,"Participant hand , Facility 1000"
46,Environ
46,chemically distinct water
46,Northern Sea Otter
46,Cyanide and thiocyanate bioreactor
46,Chile-Peru Current Coastal Province
45,gauze pad
45,pool of organs
45,kibble
45,cormorant double crested
45,bos taurus
45,Semen
45,pituita
45,cell culure
45,satellite cells
45,bark on land
45,flea
45,hydrothermal plume
44,alfalfa sprouts
44,apple
44,Meconium
44,Hen
44,Agaricus bisporus production chain
44,bark
44,North Atlantic Ocean
44,biocrust
43,pepper
43,Animal-Goat
43,PAR
43,teat/nipple swab
43,Centre M�dico-Chirurgical InterArm�es Dominique Mattei
43,I
43,peach
43,runoff filter
43,Catch basin
43,metagenomic assembly
43,Landštejn reservoir
43,Wetland A3
43,sashimi
43,nodi lymphatici mesenterici
43,Anaerobic digestion
42,porcine
42,drainage/runoff water
42,Catch Basin
42,Herbaceous Wetland
42,sp
42,ENVO:00002003
42,endotracheal tube
42,Intra-abdominal
42,Rectalswab
42,Raw lamb
42,Citellophilus tesquorum
42,surface/open water
42,Entryway Floor
42,nematodes
41,bovine necropsy
41,alfalfa sprout
41,paprika
41,coriander
41,rice
41,ur
41,WW Barachois
41,dung
41,sand
41,bloodculture
41,lavage
41,Kantong
40,Retail table eggs
40,frozen lobster tail
40,Wild bird
40,plasma
40,mutton
40,Camel
40,ENVO:00000428
40,Scotland: Glasgow
40,kefir
40,Puncture Fluids
40,Alicante
40,North Pacific Ocean
40,Mid-Cayman Rise Vent Fluids
40,Aquatic
40,Retinal epithelial cells
40,Partial nitritation anammox bioreactor
39,cell culuture
39,Kibera
39,Sausage
39,Celery
39,Intermediate-Care Facility
39,"wild bird, Fulica atra"
39,nasogastric tube
39,grassland
39,tuber
39,ventilator shelves
39,Mediterranean Sea
39,Citellus undulatus
39,aerobic bioreactor [ENVO:00002123]
38,curry powder
38,egg hatchery
38,fresh basil
38,eggs
38,Turkeys
38,microbial culture
38,colostrum
38,queso fresco
38,ceaca
38,Industrial ABE fermentation
38,organic whole grain oatmeal baby cereal
38,hollow stalk
37,Campania
37,whole egg
37,embryo
37,Animal feed
37,punctate
37,oviduct
37,Bovine carcasse
37,mangrove
37,ECG monitors
37,Traditional komiss
37,Bioreactor (Turbidostat)
37,Pasta
37,Cortex
37,Opened Powdered Infant Formula
37,Odocoileus virginianus
36,egg yolk
36,finished product
36,organ
36,ham
36,Hip
36,periphyton
36,Tips
36,Digestive tract
36,Wild Boar
36,seaweed
36,biological product
36,retailer
36,trout
36,silage
36,Hydrothermal Plume
36,2149
36,midgut junction
35,sesame seeds
35,mesenteric nodes
35,peritoneum
35,hydrothorax
35,decubitus
35,Incubator
35,broncho-alveolar lavage
35,Shengli oilfield at Shandong province
35,Estuarine biome [ENVO:01000020]
35,Microtus brandtii
35,Epidemic materials
34,fertilizer
34,spice
34,catfish
34,alpaca
34,raccoon
34,carrot
34,Tilapia
34,Bull prepuce
34,Endotracheal tube
34,Faucet
34,subsurface aquifer
34,Vitamin B2 feed additive
34,Honey
34,cave
34,Powdered Infant Formula
34,Crucian Carp
34,Aquatics
33,Surfaces slaughterhouse
33,turmeric powder
33,Taiwan
33,kale
33,ovary
33,Zoo
33,puncture
33,Mixed Parts
33,All purpose Wheat flour
33,Wooded Wetland
33,Incision
33,Knee
33,gastric juice
33,midgut
33,Atopic Dermatitis
33,tip
33,HTST Pasteurization
33,contaminant
33,Coccyx
33,microbial mat
33,BALs
33,beach
33,Subgingival plaque
33,Cryopreserved PBMC
33,Beach
32,ground
32,Carcasses
32,Cellulitis lesion
32,layer cloacal (backyard)
32,Buttocks
32,Seagull
32,plaque
32,Guttural pouch
32,Rinsate
32,"Participant hand , Facility 2000"
32,mobile device
32,Ventilator
32,salami paste production
32,rehabilitation department
32,haemolymph
32,Onion bulb
32,String method
32,toilet drainpipe
32,Ixodes pacificus
31,Mashed product
31,internal organs
31,Reptile
31,live_animal
31,coyote
31,organism
31,MRV
31,Endotracheal
31,CVC
31,Insect
31,Punktat
31,Venous
31,Seaweed
31,desert sand
31,peaches
31,whole cell
31,Muscle
31,Footwear Sole
30,pine siskin
30,house sparrow
30,alfalfa seed
30,tahini
30,guacamole
30,mushroom
30,PA
30,WWTP influent
30,ovaries
30,Digestive
30,phlegm
30,cell passaging
30,China
30,supragingival plaque isolated from 88 juvenile twins
30,Chilli
30,floor-dry aisle
30,WILD BOAR
30,microbiological samples
30,boreal forest
30,embryonic death
30,tick
30,necrobiome
