review_value	Assembly Accession	Organism Name	BioSample	BioProject	Host raw	Host_SD	Host_Context_SD	Isolation Source raw	Sample_Type_SD	Isolation_Source_SD	Isolation_Source_SD_Broad	Isolation_Site_SD	Environment_Medium_SD	Environment_Broad_Scale_SD	Environment_Local_Scale_SD	Host_Disease_SD	Host_Health_State_SD	Collection_Year	Country	matched raw field	matched raw value	current routing method
fermentation broth	GCA_024442295.1	Lacticaseibacillus rhamnosus	SAMN29784175		absent	Vaccinium		Blueberry fermentation broth	culture	clinical/host-associated material	clinical/host-associated material								China	Isolation Source raw	Blueberry fermentation broth	sample_context_router
fermentation broth	GCA_025808175.1	Lacticaseibacillus chiayiensis	SAMN31210310		absent	Vaccinium		Blueberry fermentation broth	cell culture	clinical/host-associated material	clinical/host-associated material								China	Isolation Source raw	Blueberry fermentation broth	sample_context_router
fermentation broth	GCA_041529965.1	Brevibacillus laterosporus	SAMN18472200		absent			Shanghai Natural Soil		environmental material	environmental material		soil	terrestrial environment					China	Sample Type raw	fermentation broth	environment_context_router
