count,subcontinent
1119853,Northern America
297176,Northern Europe
271233,Eastern Asia
141224,Western Europe
102660,Australia and New Zealand
51506,Southern Europe
46593,South America
38298,South-Eastern Asia
36036,Southern Asia
29952,Eastern Africa
24046,Western Asia
20984,Eastern Europe
18529,Southern Africa
15393,Western Africa
12372,Central America
10394,Northern Asia
6773,Ocean
4829,Northern Africa
3267,Melanesia
3139,Caribbean
2945,Antarctica
2740,Middle Africa
1136,South-eastern Asia
1005,Polynesia
939,Central Asia
426,Sea
112,Micronesia
