synonym,canonical,taxid,confidence,note
Prunus dulcis,Prunus dulcis,3755,high,NCBI Taxonomy name2taxid reviewed import
Litoditis marina,Litoditis marina,1654675,high,NCBI Taxonomy name2taxid reviewed import
Sturnus vulgaris,Sturnus vulgaris,9172,high,NCBI Taxonomy name2taxid reviewed import
Hypothenemus hampei,Hypothenemus hampei,57062,high,NCBI Taxonomy name2taxid reviewed import
Fagus crenata,Fagus crenata,28929,high,NCBI Taxonomy name2taxid reviewed import
Pan troglodytes,Pan troglodytes,9598,high,NCBI Taxonomy name2taxid reviewed import
Procambarus clarkii,Procambarus clarkii,6728,high,NCBI Taxonomy name2taxid reviewed import
Microtus agrestis,Microtus agrestis,29092,high,NCBI Taxonomy name2taxid reviewed import
Phasianus colchicus,Phasianus colchicus,9054,high,NCBI Taxonomy name2taxid reviewed import
Milvus migrans,Milvus migrans,52810,high,NCBI Taxonomy name2taxid reviewed import
Brassica rapa var. parachinensis,Brassica rapa var. parachinensis,320797,high,NCBI Taxonomy name2taxid reviewed import
Actinidia chinensis,Actinidia chinensis,3625,high,NCBI Taxonomy name2taxid reviewed import
Tectona grandis,Tectona grandis,41396,high,NCBI Taxonomy name2taxid reviewed import
Actinidia deliciosa,Actinidia deliciosa,3627,high,NCBI Taxonomy name2taxid reviewed import
Cyclopterus lumpus,Cyclopterus lumpus,8103,high,NCBI Taxonomy name2taxid reviewed import
Ircinia ramosa,Ircinia ramosa,281041,high,NCBI Taxonomy name2taxid reviewed import
Ctena imbricatula,Ctena imbricatula,881214,high,NCBI Taxonomy name2taxid reviewed import
Porites lutea,Porites lutea,51062,high,NCBI Taxonomy name2taxid reviewed import
Loripes orbiculatus,Loripes orbiculatus,2003426,high,NCBI Taxonomy name2taxid reviewed import
Medicago truncatula,Medicago truncatula,3880,high,NCBI Taxonomy name2taxid reviewed import
Acropora solitaryensis,Acropora solitaryensis,513077,high,NCBI Taxonomy name2taxid reviewed import
Osphranter rufus,Osphranter rufus,9321,high,NCBI Taxonomy name2taxid reviewed import
Struthio camelus,Struthio camelus,8801,high,NCBI Taxonomy name2taxid reviewed import
Enhydra lutris kenyoni,Enhydra lutris kenyoni,391180,high,NCBI Taxonomy name2taxid reviewed import
Meriones unguiculatus,Meriones unguiculatus,10047,high,NCBI Taxonomy name2taxid reviewed import
Brassica rapa,Brassica rapa,3711,high,NCBI Taxonomy name2taxid reviewed import
Trifolium pratense,Trifolium pratense,57577,high,NCBI Taxonomy name2taxid reviewed import
Ovis canadensis,Ovis canadensis,37174,high,NCBI Taxonomy name2taxid reviewed import
Pangasianodon hypophthalmus,Pangasianodon hypophthalmus,310915,high,NCBI Taxonomy name2taxid reviewed import
Zophobas morio,Zophobas morio,2755281,high,NCBI Taxonomy name2taxid reviewed import
