metric,value
files_scanned,5066
rows_scanned,2597897
file_errors,0
missing_required_column_file_hits,0
host_original_present,1568337
host_sd_present,1560029
host_taxid_present,1559238
host_taxid_percent,60.02
host_context_recovered_rows,159648
host_review_needed_rows,780
source_like_mapped_host_rows_for_review,18149
source_like_unmapped_host_rows_for_review,4443
sample_type_sd_present,1357582
sample_type_sd_percent,52.26
invalid_sample_type_host_term_rows,0
isolation_source_sd_present,1490899
isolation_source_sd_percent,57.39
environment_medium_sd_present,204135
environment_medium_sd_percent,7.86
country_present,2262820
country_percent,87.1
continent_present,2262820
subcontinent_present,2262820
non_country_values_in_country_rows,0
country_continent_mismatch_rows,0
country_subcontinent_mismatch_rows,0
collection_year_present,2169741
collection_year_percent,83.52
