count,environment_medium_sd_broad
73087,water
39206,soil
36044,environmental material
15342,sediment
8526,wastewater/sewage
6004,marine
5407,food/dairy
4183,plant-associated material
3919,agricultural fecal material
2248,biofilm
2203,culture medium
2037,laboratory environment
1028,healthcare-associated environment
794,biological/clinical product
787,leachate
683,sea ice
616,biological waste material
490,surface sample
410,environmental/geologic material
377,dust
345,compost
179,cryoconite
146,metadata descriptor / non-source
65,clinical fluid/material
6,land crag
2,mine tailings
1,microplastic/plastic
