isolation_source_sd,assembly_count,recommended_action
stalk tissue,1,route_to_sample_type
subcutaneous tissue,1,route_to_sample_type
surgery site tissue,1,route_to_sample_type
surgical site (wound swab),1,route_to_sample_type
surgically removed tissue from elbow,1,route_to_sample_type
surgically removed tissue from right elbow,1,route_to_sample_type
tendon tissue,1,route_to_sample_type
thoracic cavity tissue,1,route_to_sample_type
tick tissue,1,route_to_sample_type
tissue (Canis lupus familiaris),1,route_to_sample_type
tissue (surgical site),1,route_to_sample_type
tissue cell,1,route_to_sample_type
tissue extract from bleached pachyseri speciosa,1,route_to_sample_type
tissue from oliver flounder,1,route_to_sample_type
tissue grind,1,route_to_sample_type
tissue humerus,1,route_to_sample_type
tissue left hip,1,route_to_sample_type
tissue middle turbinate,1,route_to_sample_type
tissue near hip prosthesis,1,route_to_sample_type
tissue of a tunicate Halocynthia papillosa,1,route_to_sample_type
tissue pool (Bos taurus),1,route_to_sample_type
tissue pool (porcine),1,route_to_sample_type
tissue r knee,1,route_to_sample_type
tissue right Shoulder glenoid,1,route_to_sample_type
tissue right humeral membrane,1,route_to_sample_type
"tissue, L hip",1,route_to_sample_type
"tissue, acetabulum",1,route_to_sample_type
"tissue, chest",1,route_to_sample_type
"tissue, hand",1,route_to_sample_type
"tissue, hole in mandibula",1,route_to_sample_type
"tissue, right shoulder",1,route_to_sample_type
"tissue, sacral",1,route_to_sample_type
tissue-sacral,1,route_to_sample_type
tissue/Surgical,1,route_to_sample_type
tissue; sacral ulcer,1,route_to_sample_type
tissue;R HIP,1,route_to_sample_type
toe tissue,1,route_to_sample_type
trophosome tissue,1,route_to_sample_type
trophosome tissue of the deep-sea tubeworm Riftia pachyptila; host species originated from Ph05 vent at 13 N East Pacific Rise,1,route_to_sample_type
trophosome tissue of the deep-sea tubeworm Tevnia jerichonana; host species originated from Tica vent at 9deg 50' N East Pacific Rise,1,route_to_sample_type
upper jaw tissue with sinusitis,1,route_to_sample_type
wet tissue,1,route_to_sample_type
white adipose tissue,1,route_to_sample_type
whole tissue,1,route_to_sample_type
xylem tissue branch,1,route_to_sample_type
