isolation_source_sd,assembly_count,recommended_action
Catether (Blood),2,route_to_sample_type
Cerebrospinal,2,route_to_sample_type
Chest Tissue,2,route_to_sample_type
Elbow tissue,2,route_to_sample_type
Finger Tissue,2,route_to_sample_type
Heel Tissue,2,route_to_sample_type
Hip tissue,2,route_to_sample_type
Intraabdominal tissue,2,route_to_sample_type
Joint Tissue,2,route_to_sample_type
L hip tissue,2,route_to_sample_type
LEFT HEEL TISSUE,2,route_to_sample_type
Lizards faeces,2,route_to_sample_type
NPC tumor tissue,2,route_to_sample_type
Necrotic Tissue,2,route_to_sample_type
Pancreatic Tissue,2,route_to_sample_type
Placental tissue,2,route_to_sample_type
Post-lavage,2,route_to_sample_type
Serum,2,route_to_sample_type
Thumb Tissue,2,route_to_sample_type
Tissue DEEP HUMERAL MEMBRANE,2,route_to_sample_type
Tissue GLENOID MEMBRANE,2,route_to_sample_type
Tissue Right Shoulder GLENOID MEMBRANE,2,route_to_sample_type
"Tissue, Scalp",2,route_to_sample_type
"Tissue, Wrist",2,route_to_sample_type
"Tissue, animal",2,route_to_sample_type
Tissue; toe,2,route_to_sample_type
Tracheobronchial lavage,2,route_to_sample_type
White adipose tissue,2,route_to_sample_type
adipose tissue,2,route_to_sample_type
avian tissue,2,route_to_sample_type
baby faeces,2,route_to_sample_type
"bat, faeces",2,route_to_sample_type
bovine multiple tissue,2,route_to_sample_type
broncho alveolar lavage,2,route_to_sample_type
canine tissue,2,route_to_sample_type
cerebrospinal,2,route_to_sample_type
deep tissue,2,route_to_sample_type
endophytic tissue,2,route_to_sample_type
feline tissue,2,route_to_sample_type
host tissue homogenate,2,route_to_sample_type
kite (cloacal swab),2,route_to_sample_type
motor cortex tissue,2,route_to_sample_type
necrotic tissue,2,route_to_sample_type
phloem tissue of taproot,2,route_to_sample_type
pool tissue,2,route_to_sample_type
rhizome tissue,2,route_to_sample_type
soft rot tissue,2,route_to_sample_type
synovial tissue,2,route_to_sample_type
tissue excision,2,route_to_sample_type
tissue from ulcer,2,route_to_sample_type
tissue l great toe,2,route_to_sample_type
tissue r heel,2,route_to_sample_type
tissue right Shoulder glenoid membrane,2,route_to_sample_type
tissue right shoulder collar membrame,2,route_to_sample_type
xylem tissue,2,route_to_sample_type
"""Tissue, paraspinal mass""",1,route_to_sample_type
A_D1 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_D11 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_D19 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_D27 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_D28 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_D30 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_D40 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_D43 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_D44 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_R13 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_R14 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_R15_1 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_R20 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_R20_2 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_R22 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_R30 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_R32 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_R38 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_R5 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_R6 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_R8 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_W10 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_W11 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_W13 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_W16 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_W17 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_W18 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_W19 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_W6 was obtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
A_W9 wasobtained by irradiation with atmospheric room-temperature plasma,1,route_to_sample_type
Abdominal (drain aspirate),1,route_to_sample_type
Abdominal Incision Tissue,1,route_to_sample_type
