metric,value
latest_audit_timestamp,20260504_184227
git_commit,bbb8b5df4bcfa7047f32e6d6c38143c85d18f982
git_branch,main
docker_image_tag,fetchm-web:latest
code_version,bbb8b5df4bcf
worker_state,standardization_workers_stopped
files_scanned,5066
rows_scanned,2598486
file_errors,0
unique_isolation_source_broad_values,42
noisy_isolation_source_broad_values,0
noisy_isolation_source_broad_rows,0
body_site_leakage_values,0
disease_leakage_values,0
raw_code_leakage_values,0
controlled_category_total_rows,7305
controlled_category_approved_rows,7199
controlled_category_duplicate_keys,0
controlled_category_conflict_keys,0
controlled_category_suspicious_rows,20
regression_status,passed
regression_tests_run,8
regression_tests_failed,0
