sample_type_sd,assembly_count
feces/stool,284439
blood,119274
urine,68601
gut content,59062
cell culture,56145
sterile body site,46778
chicken meat,45070
sputum,35582
clinical sample,33431
nasopharynx/oropharynx,31642
environmental sample,30052
rectal swab,26693
chicken carcass,25716
food,24718
wound,20953
culture,20916
beef,15226
pork,14932
turkey meat,14057
single cell,11881
microbial isolate,11226
respiratory sample,10984
bodily fluid,9413
milk,8004
poultry meat,7887
laboratory,7738
river,6454
surveillance swab,6332
cerebrospinal fluid,6204
nasal swab,5896
farm,5600
bacterial culture,5496
meat product,5075
mixed culture,4794
pure/single culture,4692
bronchoalveolar lavage fluid,4494
perianal/anal swab,4462
abscess,3996
manure,3911
surface,3790
sewage,3338
sponge,3236
dairy food,3106
pond,2765
broiler,2757
groundwater,2702
rhizosphere,2614
pus,2590
tracheal aspirate/secretion,2586
gastric biopsy,2571
aspirate,2528
stream,2519
seafood,2397
fecal/stool swab,2278
catheter,2137
clinical material,1956
secretion,1917
drainage,1608
drain,1522
estuary,1503
DNA extract,1485
cloacal swab,1483
food processing environment,1480
biopsy,1463
root,1333
food product,1330
sink,1328
hospital wastewater,1184
bloodstream,1122
bile,1118
skin/body-surface swab,1071
dairy farm,1042
pleural fluid,1018
skin swab,959
microbial culture,958
environmental swab,950
rectovaginal site,933
hospital sewage,913
salmon,884
oral/oropharyngeal swab,883
long-term care facility,843
irrigation canal,839
nodule,806
lettuce,795
food/animal-production swab,794
enrichment culture,786
vegetable,779
hot spring,763
leaves,756
vaginal swab,733
ground chicken,667
urogenital swab,662
oropharyngeal/throat swab,657
air,645
spinach,638
pet food,620
terrestrial environment,609
ice cream,605
saliva,604
fermented food/beverage,579
potato,572
deciduous forest,570
swab,550
cucumber,537
cloacal sample,533
enoki mushroom,522
kratom,520
ready-to-eat product,497
cubital fossa,487
bronchial wash/lavage,456
tomato,455
dairy product,446
sludge,441
avocado,429
ascites,417
intestinal epithelial cells,411
rectal/cloacal/perianal swab,400
cantaloupe,395
dental plaque,393
prawn product,385
fluff/lint material,384
trap sample,378
wildlife,371
cilantro,340
anaerobic digester,330
FFPE tissue,319
papaya,315
surface layer,313
nasopharyngeal swab,306
peanut butter,290
colon contents,280
endovascular,271
leafy greens,268
tree nut,268
respiratory swab,267
wound/lesion/abscess swab,263
oral swab,248
shrimp product,210
catfish product,200
wood,193
ready-to-eat food,179
fermented food,154
rectal/perianal swab,150
core,137
gill,130
cleanroom floor,121
kimchi,120
milk powder,119
saline water,115
clinical swab,109
oyster product,92
fish product,82
tracheal aspirate,82
internal-site swab,81
probiotic product,77
grain product,72
glacier,67
unicyanobacterial culture,61
leaf tissue,56
cold seep,54
assembly,50
eye swab,49
biological product,36
bootsock/environmental swab,33
teat/nipple swab,32
plate culture,27
cave biofilm,26
fermented milk/dairy product,25
deep-sea hydrothermal deposit,23
laboratory culture,22
liquid culture,19
wound/skin/pus swab,18
clone culture,14
ice core section from central arctic ocean,14
urogenital/reproductive swab,13
produced fluids from hydraulically fractured shales,11
anaerobic bioreactor effluent,8
wound swab,5
transport swab,4
feed/fodder,3
meat,3
freshwater fish product,2
screening culture,2
shellfish product,2
plant material,1
spore release material,1
wound/pus swab,1
