isolation_source_sd,assembly_count,recommended_action
Room_3_E_Organism_2,2,route_to_non_source_descriptor
Room_4_C_Organism_5,2,route_to_non_source_descriptor
Room_4_E_Organism_4,2,route_to_non_source_descriptor
Room_5_E_Organism_4,2,route_to_non_source_descriptor
SoSk1,2,route_to_non_source_descriptor
SoSk2,2,route_to_non_source_descriptor
Tfh_IL21_SP,2,route_to_non_source_descriptor
Ventilator_P1_BU24,2,route_to_non_source_descriptor
Ventilator_P23_BU25,2,route_to_non_source_descriptor
Ventilator_P37_BU4,2,route_to_non_source_descriptor
Ventilator_P4_BU3,2,route_to_non_source_descriptor
Ventilator_P50_BU7,2,route_to_non_source_descriptor
Ventilator_P6_BU8,2,route_to_non_source_descriptor
Ventilator_P87_BU8,2,route_to_non_source_descriptor
Ventilator_P96_BU15,2,route_to_non_source_descriptor
femur_chicken2_1,2,route_to_non_source_descriptor
femur_chicken2_2,2,route_to_non_source_descriptor
femur_chicken2_3,2,route_to_non_source_descriptor
host-1,2,route_to_non_source_descriptor
patient1,2,route_to_non_source_descriptor
1310K,1,route_to_non_source_descriptor
1318K,1,route_to_non_source_descriptor
1326K,1,route_to_non_source_descriptor
1336K,1,route_to_non_source_descriptor
1406K,1,route_to_non_source_descriptor
1408K,1,route_to_non_source_descriptor
1414K,1,route_to_non_source_descriptor
1416K,1,route_to_non_source_descriptor
1422K,1,route_to_non_source_descriptor
1432K,1,route_to_non_source_descriptor
1507K,1,route_to_non_source_descriptor
1513K,1,route_to_non_source_descriptor
1515K,1,route_to_non_source_descriptor
1521K,1,route_to_non_source_descriptor
1523K,1,route_to_non_source_descriptor
1524K,1,route_to_non_source_descriptor
1526K,1,route_to_non_source_descriptor
1527K,1,route_to_non_source_descriptor
1528K,1,route_to_non_source_descriptor
1531K,1,route_to_non_source_descriptor
1532K,1,route_to_non_source_descriptor
1534K,1,route_to_non_source_descriptor
1535K,1,route_to_non_source_descriptor
1536K,1,route_to_non_source_descriptor
1603K,1,route_to_non_source_descriptor
1604K,1,route_to_non_source_descriptor
1606K,1,route_to_non_source_descriptor
1607K,1,route_to_non_source_descriptor
1608K,1,route_to_non_source_descriptor
1612K,1,route_to_non_source_descriptor
1613K,1,route_to_non_source_descriptor
1614K,1,route_to_non_source_descriptor
1615K,1,route_to_non_source_descriptor
1616K,1,route_to_non_source_descriptor
1617K,1,route_to_non_source_descriptor
1619K,1,route_to_non_source_descriptor
1620K,1,route_to_non_source_descriptor
1621K,1,route_to_non_source_descriptor
1622K,1,route_to_non_source_descriptor
1623K,1,route_to_non_source_descriptor
1624K,1,route_to_non_source_descriptor
1627K,1,route_to_non_source_descriptor
1628K,1,route_to_non_source_descriptor
1629K,1,route_to_non_source_descriptor
1630K,1,route_to_non_source_descriptor
1631K,1,route_to_non_source_descriptor
1632K,1,route_to_non_source_descriptor
1634K,1,route_to_non_source_descriptor
1635K,1,route_to_non_source_descriptor
1636K,1,route_to_non_source_descriptor
1711L,1,route_to_non_source_descriptor
1712L,1,route_to_non_source_descriptor
1719L,1,route_to_non_source_descriptor
1808L,1,route_to_non_source_descriptor
1816L,1,route_to_non_source_descriptor
1824L,1,route_to_non_source_descriptor
1832L,1,route_to_non_source_descriptor
1906L,1,route_to_non_source_descriptor
2022SY-00100,1,route_to_non_source_descriptor
2022SY-00101,1,route_to_non_source_descriptor
2022SY-00107,1,route_to_non_source_descriptor
2022SY-00108,1,route_to_non_source_descriptor
2022SY-00109,1,route_to_non_source_descriptor
2022SY-00110,1,route_to_non_source_descriptor
2023JQ-00300,1,route_to_non_source_descriptor
2023JQ-00301,1,route_to_non_source_descriptor
2023JQ-00302,1,route_to_non_source_descriptor
2023JQ-00315,1,route_to_non_source_descriptor
2023JQ-00316,1,route_to_non_source_descriptor
2023JQ-00317,1,route_to_non_source_descriptor
2023JQ-00443,1,route_to_non_source_descriptor
2023JQ-00444,1,route_to_non_source_descriptor
2023JQ-00445,1,route_to_non_source_descriptor
2023JQ-00446,1,route_to_non_source_descriptor
2023JQ-00447,1,route_to_non_source_descriptor
2023JQ-00449,1,route_to_non_source_descriptor
2023JQ-00450,1,route_to_non_source_descriptor
2023JQ-00451,1,route_to_non_source_descriptor
2023JQ-00452,1,route_to_non_source_descriptor
2023JQ-00453,1,route_to_non_source_descriptor
2023JQ-00454,1,route_to_non_source_descriptor
2023JQ-00455,1,route_to_non_source_descriptor
2023JQ-00456,1,route_to_non_source_descriptor
2023JQ-00457,1,route_to_non_source_descriptor
2023JQ-00459,1,route_to_non_source_descriptor
2023JQ-00460,1,route_to_non_source_descriptor
2023JQ-00461,1,route_to_non_source_descriptor
2023JQ-00462,1,route_to_non_source_descriptor
2023JQ-00463,1,route_to_non_source_descriptor
2023JQ-00464,1,route_to_non_source_descriptor
2023JQ-00465,1,route_to_non_source_descriptor
2023JQ-00466,1,route_to_non_source_descriptor
2023JQ-00467,1,route_to_non_source_descriptor
2023JQ-00469,1,route_to_non_source_descriptor
2023JQ-00470,1,route_to_non_source_descriptor
2023JQ-00471,1,route_to_non_source_descriptor
2023JQ-00472,1,route_to_non_source_descriptor
2023JQ-00473,1,route_to_non_source_descriptor
2023JQ-00474,1,route_to_non_source_descriptor
2023JQ-00476,1,route_to_non_source_descriptor
2023JQ-00477,1,route_to_non_source_descriptor
2023JQ-00480,1,route_to_non_source_descriptor
2023JQ-00481,1,route_to_non_source_descriptor
2023JQ-00482,1,route_to_non_source_descriptor
2023JQ-00483,1,route_to_non_source_descriptor
2023JQ-00484,1,route_to_non_source_descriptor
2023SY-00001,1,route_to_non_source_descriptor
2023SY-00002,1,route_to_non_source_descriptor
2023SY-00003,1,route_to_non_source_descriptor
2023SY-00004,1,route_to_non_source_descriptor
2023SY-00005,1,route_to_non_source_descriptor
2023SY-00008,1,route_to_non_source_descriptor
2023SY-00009,1,route_to_non_source_descriptor
2024EL-00764,1,route_to_non_source_descriptor
2024EL-00765,1,route_to_non_source_descriptor
293Trex,1,route_to_non_source_descriptor
797Trex,1,route_to_non_source_descriptor
A317,1,route_to_non_source_descriptor
A362,1,route_to_non_source_descriptor
AR449,1,route_to_non_source_descriptor
AR461,1,route_to_non_source_descriptor
ASXL3_Ab2_KP3,1,route_to_non_source_descriptor
Aamose9,1,route_to_non_source_descriptor
Abattoir_1,1,route_to_non_source_descriptor
Abattoir_6,1,route_to_non_source_descriptor
Adr2-,1,route_to_non_source_descriptor
Airosal_in_HZ1,1,route_to_non_source_descriptor
Airosal_in_HZ3,1,route_to_non_source_descriptor
Airosal_in_Heyuan2,1,route_to_non_source_descriptor
Airosal_in_Huadu3,1,route_to_non_source_descriptor
Airosal_in_Kaiping1,1,route_to_non_source_descriptor
Airosal_in_Kaiping2,1,route_to_non_source_descriptor
Airosal_in_Xinhua1,1,route_to_non_source_descriptor
Airosal_in_Xinhua3,1,route_to_non_source_descriptor
Airosal_in_Yangchun2,1,route_to_non_source_descriptor
Airosal_in_baiyun2,1,route_to_non_source_descriptor
Anholt1,1,route_to_non_source_descriptor
Anholt12,1,route_to_non_source_descriptor
Anholt17,1,route_to_non_source_descriptor
Anholt19,1,route_to_non_source_descriptor
Atoh1.control,1,route_to_non_source_descriptor
Atoh1.rep1,1,route_to_non_source_descriptor
Atoh1.rep2,1,route_to_non_source_descriptor
BELF3,1,route_to_non_source_descriptor
BLDP2,1,route_to_non_source_descriptor
BRD4_shNONT_H1963,1,route_to_non_source_descriptor
Butchery_1,1,route_to_non_source_descriptor
Butchery_105,1,route_to_non_source_descriptor
Butchery_107,1,route_to_non_source_descriptor
Butchery_11,1,route_to_non_source_descriptor
Butchery_13,1,route_to_non_source_descriptor
Butchery_150,1,route_to_non_source_descriptor
Butchery_18,1,route_to_non_source_descriptor
Butchery_21,1,route_to_non_source_descriptor
Butchery_22,1,route_to_non_source_descriptor
Butchery_24,1,route_to_non_source_descriptor
Butchery_26,1,route_to_non_source_descriptor
Butchery_28,1,route_to_non_source_descriptor
Butchery_3,1,route_to_non_source_descriptor
Butchery_30,1,route_to_non_source_descriptor
Butchery_34,1,route_to_non_source_descriptor
Butchery_36,1,route_to_non_source_descriptor
Butchery_38,1,route_to_non_source_descriptor
Butchery_40,1,route_to_non_source_descriptor
Butchery_42,1,route_to_non_source_descriptor
Butchery_44,1,route_to_non_source_descriptor
Butchery_46,1,route_to_non_source_descriptor
Butchery_48,1,route_to_non_source_descriptor
Butchery_5,1,route_to_non_source_descriptor
Butchery_50,1,route_to_non_source_descriptor
Butchery_52,1,route_to_non_source_descriptor
Butchery_54,1,route_to_non_source_descriptor
Butchery_56,1,route_to_non_source_descriptor
Butchery_58,1,route_to_non_source_descriptor
Butchery_62,1,route_to_non_source_descriptor
Butchery_64,1,route_to_non_source_descriptor
Butchery_66,1,route_to_non_source_descriptor
Butchery_68,1,route_to_non_source_descriptor
Butchery_7,1,route_to_non_source_descriptor
Butchery_70,1,route_to_non_source_descriptor
Butchery_72,1,route_to_non_source_descriptor
Butchery_75,1,route_to_non_source_descriptor
Butchery_77,1,route_to_non_source_descriptor
Butchery_83,1,route_to_non_source_descriptor
Butchery_85,1,route_to_non_source_descriptor
Butchery_87,1,route_to_non_source_descriptor
Butchery_89,1,route_to_non_source_descriptor
Butchery_9,1,route_to_non_source_descriptor
Butchery_91,1,route_to_non_source_descriptor
Butchery_93,1,route_to_non_source_descriptor
Butchery_95,1,route_to_non_source_descriptor
Butchery_97,1,route_to_non_source_descriptor
Butchery_99,1,route_to_non_source_descriptor
Butter_8,1,route_to_non_source_descriptor
C201R-male,1,route_to_non_source_descriptor
CS-1,1,route_to_non_source_descriptor
CS-10,1,route_to_non_source_descriptor
CS-11,1,route_to_non_source_descriptor
CS-12,1,route_to_non_source_descriptor
CS-13,1,route_to_non_source_descriptor
CS-2,1,route_to_non_source_descriptor
CS-3,1,route_to_non_source_descriptor
CS-4,1,route_to_non_source_descriptor
CS-5,1,route_to_non_source_descriptor
CS-6,1,route_to_non_source_descriptor
CS-7,1,route_to_non_source_descriptor
CS-8,1,route_to_non_source_descriptor
CS-9,1,route_to_non_source_descriptor
Calf2,1,route_to_non_source_descriptor
ChIp-seq_wt_IgG_rep1,1,route_to_non_source_descriptor
Coldstore_1,1,route_to_non_source_descriptor
Coldstore_13,1,route_to_non_source_descriptor
Coldstore_3,1,route_to_non_source_descriptor
Coldstore_5,1,route_to_non_source_descriptor
Coldstore_7,1,route_to_non_source_descriptor
Coldstore_9,1,route_to_non_source_descriptor
Computer_NA_BU6,1,route_to_non_source_descriptor
Computer_P101_BU22,1,route_to_non_source_descriptor
Computer_P19_BU20,1,route_to_non_source_descriptor
Computer_P24_BU26,1,route_to_non_source_descriptor
Computer_P25_BU27,1,route_to_non_source_descriptor
Computer_P28_BU12,1,route_to_non_source_descriptor
Computer_P34_BU17,1,route_to_non_source_descriptor
Computer_P47_BU17,1,route_to_non_source_descriptor
Computer_P49_BU12,1,route_to_non_source_descriptor
Computer_P57_BU11,1,route_to_non_source_descriptor
Computer_P91_BU9,1,route_to_non_source_descriptor
Computer_P96_BU15,1,route_to_non_source_descriptor
Cream_15,1,route_to_non_source_descriptor
Cream_24,1,route_to_non_source_descriptor
DMSO_R2,1,route_to_non_source_descriptor
Dyre3,1,route_to_non_source_descriptor
DyreVideo2,1,route_to_non_source_descriptor
DyreVideo3,1,route_to_non_source_descriptor
ENVO_00000020,1,route_to_non_source_descriptor
ENVO_00002001,1,route_to_non_source_descriptor
ENVO_00010483,1,route_to_non_source_descriptor
ENVO_01000339,1,route_to_non_source_descriptor
ENVO_01001001,1,route_to_non_source_descriptor
ENVO_01001244,1,route_to_non_source_descriptor
ENVO_01001701,1,route_to_non_source_descriptor
EU009550,1,route_to_non_source_descriptor
EU009551,1,route_to_non_source_descriptor
EVB1,1,route_to_non_source_descriptor
EVB11,1,route_to_non_source_descriptor
EVB14,1,route_to_non_source_descriptor
EVB8,1,route_to_non_source_descriptor
F017,1,route_to_non_source_descriptor
F042,1,route_to_non_source_descriptor
F062,1,route_to_non_source_descriptor
FL110,1,route_to_non_source_descriptor
FL112,1,route_to_non_source_descriptor
FL115,1,route_to_non_source_descriptor
FL122,1,route_to_non_source_descriptor
FL124,1,route_to_non_source_descriptor
FL126,1,route_to_non_source_descriptor
FL128,1,route_to_non_source_descriptor
FL132,1,route_to_non_source_descriptor
FL135,1,route_to_non_source_descriptor
FL172,1,route_to_non_source_descriptor
FL173,1,route_to_non_source_descriptor
FL174,1,route_to_non_source_descriptor
FL176,1,route_to_non_source_descriptor
FL180,1,route_to_non_source_descriptor
FL242,1,route_to_non_source_descriptor
FL243,1,route_to_non_source_descriptor
FL246,1,route_to_non_source_descriptor
FL247,1,route_to_non_source_descriptor
FL250,1,route_to_non_source_descriptor
FL257,1,route_to_non_source_descriptor
FL258,1,route_to_non_source_descriptor
FL259,1,route_to_non_source_descriptor
FL260,1,route_to_non_source_descriptor
FL262,1,route_to_non_source_descriptor
FL268,1,route_to_non_source_descriptor
FL274,1,route_to_non_source_descriptor
FL280,1,route_to_non_source_descriptor
FL282,1,route_to_non_source_descriptor
FL285,1,route_to_non_source_descriptor
FL286,1,route_to_non_source_descriptor
FL288,1,route_to_non_source_descriptor
FL294,1,route_to_non_source_descriptor
FL295,1,route_to_non_source_descriptor
FL296,1,route_to_non_source_descriptor
FL297,1,route_to_non_source_descriptor
FL298,1,route_to_non_source_descriptor
FL300,1,route_to_non_source_descriptor
FL338,1,route_to_non_source_descriptor
FL344,1,route_to_non_source_descriptor
FL346,1,route_to_non_source_descriptor
FL347,1,route_to_non_source_descriptor
FL376,1,route_to_non_source_descriptor
FL499,1,route_to_non_source_descriptor
FL500,1,route_to_non_source_descriptor
FL501,1,route_to_non_source_descriptor
FL502,1,route_to_non_source_descriptor
FL503,1,route_to_non_source_descriptor
FL504,1,route_to_non_source_descriptor
FL506,1,route_to_non_source_descriptor
FL507,1,route_to_non_source_descriptor
FL508,1,route_to_non_source_descriptor
FL515,1,route_to_non_source_descriptor
FL516,1,route_to_non_source_descriptor
FL517,1,route_to_non_source_descriptor
FL524,1,route_to_non_source_descriptor
FL525,1,route_to_non_source_descriptor
FL541,1,route_to_non_source_descriptor
FL543,1,route_to_non_source_descriptor
FL550,1,route_to_non_source_descriptor
FL561,1,route_to_non_source_descriptor
FL566,1,route_to_non_source_descriptor
FL568,1,route_to_non_source_descriptor
FL570,1,route_to_non_source_descriptor
FL572,1,route_to_non_source_descriptor
FL573,1,route_to_non_source_descriptor
FL574,1,route_to_non_source_descriptor
FL575,1,route_to_non_source_descriptor
FL577,1,route_to_non_source_descriptor
FL581,1,route_to_non_source_descriptor
FL582,1,route_to_non_source_descriptor
FL621,1,route_to_non_source_descriptor
FL622,1,route_to_non_source_descriptor
FL626,1,route_to_non_source_descriptor
FL627,1,route_to_non_source_descriptor
FL644,1,route_to_non_source_descriptor
FL646,1,route_to_non_source_descriptor
FL652,1,route_to_non_source_descriptor
FL653,1,route_to_non_source_descriptor
FL670,1,route_to_non_source_descriptor
FL671,1,route_to_non_source_descriptor
FL672,1,route_to_non_source_descriptor
FL674,1,route_to_non_source_descriptor
FL677,1,route_to_non_source_descriptor
FL679,1,route_to_non_source_descriptor
FL77,1,route_to_non_source_descriptor
FL784,1,route_to_non_source_descriptor
FL791,1,route_to_non_source_descriptor
FL792,1,route_to_non_source_descriptor
FL793,1,route_to_non_source_descriptor
