field,represented_rows,unique_broad_values,non_approved_unique_values,non_approved_represented_rows,top_20_values
Isolation_Source_SD_Broad,1365354,43,0,0,"('clinical/host-associated material', 536285):0; ('feces/stool', 253023):0; ('food/meat', 125840):0; ('water', 53789):0; ('environmental material', 45268):0; ('metadata descriptor / non-source', 42362):0; ('food', 34529):0; ('upper respiratory tract', 32761):0; ('healthcare-associated environment', 27742):0; ('soil', 26815):0; ('culture', 26514):0; ('clinical fluid/material', 23983):0; ('plant-associated material', 16998):0; ('food/dairy', 16389):0; ('host-associated context', 15004):0; ('sediment', 12247):0; ('swab', 10570):0; ('tissue', 9167):0; ('wastewater/sewage', 8453):0; ('agricultural environment', 5631):0"
Sample_Type_SD_Broad,1306429,44,0,0,"('clinical/host-associated material', 345930):0; ('feces/stool', 231850):0; ('food/meat', 127416):0; ('culture/assembly', 108962):0; ('culture', 92156):0; ('swab', 52946):0; ('gut content', 43886):0; ('environmental material', 40263):0; ('metadata descriptor / non-source', 37263):0; ('water', 31186):0; ('upper respiratory tract', 30250):0; ('food', 28580):0; ('clinical fluid/material', 25183):0; ('food/dairy', 12069):0; ('soil', 11732):0; ('culture/isolate', 10810):0; ('single cell', 8940):0; ('respiratory sample', 7260):0; ('agricultural environment', 6279):0; ('plant-associated material', 6142):0"
Environment_Medium_SD_Broad,197560,18,0,0,"('water', 74914):0; ('soil', 39205):0; ('environmental material', 36069):0; ('sediment', 15088):0; ('wastewater/sewage', 8539):0; ('food/dairy', 5407):0; ('tissue', 4183):0; ('agricultural fecal material', 3919):0; ('biofilm', 2249):0; ('culture medium', 2204):0; ('laboratory environment', 2035):0; ('built environment', 1193):0; ('healthcare-associated environment', 1028):0; ('biological/clinical product', 794):0; ('environmental/geologic material', 416):0; ('metadata descriptor / non-source', 146):0; ('surface sample', 106):0; ('clinical fluid/material', 65):0"
Environment_Broad_Scale_SD,575837,23,17,488370,"('host-associated gut/oral/fecal environment', 270451):0; ('food-associated environment', 57647):0; ('clinical/host-associated material', 39674):0; ('terrestrial environment', 34697):0; ('environmental sample', 30661):0; ('healthcare-associated environment', 25789):0; ('freshwater environment', 23298):0; ('marine environment', 21582):0; ('wastewater/sewage', 17935):0; ('plant-associated environment', 12476):0; ('aquatic sediment environment', 11464):0; ('host-associated environment', 8930):0; ('built/urban environment', 5352):0; ('host-associated gut environment', 4059):0; ('geologic/extreme environment', 3405):0; ('estuarine environment', 2545):0; ('laboratory environment', 2408):0; ('agricultural environment', 1564):0; ('air/built environment', 720):0; ('anthropogenic environment', 446):0"
Environment_Local_Scale_SD_Broad,348952,12,0,0,"('gut content', 280414):0; ('healthcare-associated environment', 27611):0; ('water', 21638):0; ('agricultural environment', 9147):0; ('wastewater/sewage', 3480):0; ('laboratory environment', 2188):0; ('food', 1390):0; ('food/processing environment', 1170):0; ('environmental/geologic material', 933):0; ('environmental material', 481):0; ('built environment', 326):0; ('surface sample', 174):0"
