count,sample_type_sd
229497,feces/stool
172590,human
117167,blood
110415,metagenomic assembly
66591,urine
60412,chicken meat
55517,cell culture
46777,sterile body site
38761,metadata descriptor/non-source
35155,sputum
34765,whole organism
31756,clinical sample
25087,environmental sample
24922,food
24621,rectal swab
20957,nasopharynx/oropharynx
20578,gut content
17240,wound
15847,beef
15319,water
14240,pork
13889,chicken carcass
13396,turkey meat
13324,environmental swab
12553,pure culture
11147,microbial isolate
11062,nasal site
10557,single cell
10526,respiratory sample
10337,soil
9426,lung
9397,culture
9116,skin
7336,milk
6978,cerebrospinal fluid
6974,nasopharyngeal swab
6740,poultry
6413,bodily fluid
6354,rectum
6121,nasal swab
5926,meat
5909,river
5631,bacterial culture
5307,swab
4911,liver
4770,mixed culture
4650,pure/single culture
4509,sediment
4438,perianal/anal swab
4201,bronchoalveolar lavage fluid
3957,sample
3715,abscess
3577,tissue
3038,farm
3003,manure
2952,urethra/penis
2931,dairy food
2885,urinary tract
2658,Oyster
2544,oropharyngeal/throat swab
2488,tracheal aspirate/secretion
2438,surface
2323,pus
2320,aspirate
2307,gastric biopsy
2288,seawater
2278,oral cavity
2252,wound swab
2105,broiler
2084,catheter
2039,sewage
2025,fecal/stool swab
2021,canal
2002,shrimp
1956,clinical material
1868,plant
1866,stream
1857,ear
1806,secretion
1560,food processing environment
1540,wound/skin/pus swab
1527,drainage
1477,DNA extract
1474,cloacal swab
1404,surveillance swab
1384,biopsy
1306,groin
1274,food product
1245,bloodstream
1241,rectal/perianal swab
1233,rhizosphere
1211,drain
1183,hospital wastewater
1134,laboratory
1124,sink
1114,heart
1085,skin/body-surface swab
1068,bile
1043,bone
933,rectovaginal site
895,urban
887,pleural fluid
887,root
884,lymph node
875,urogenital
873,hospital sewage
851,oral/oropharyngeal swab
850,food/animal-production swab
835,salmon
834,irrigation canal
785,lettuce
733,dairy farm
724,non-food-contact surface
720,brain
719,healthcare facility
698,pond
694,vegetable
689,pet food
671,vaginal swab
670,ground chicken
661,whole genome sequencing sample
646,ear swab
633,spinach
632,vagina
625,microbial culture
612,ice cream
597,seafood
588,spleen
584,eye
579,root nodule
569,deciduous forest
562,terrestrial environment
549,kidney
524,saliva
521,kratom
518,cucumber
512,enoki mushroom
497,ready-to-eat product
487,cubital fossa
465,fermented food/beverage
464,skin lesion
447,urogenital swab
437,dairy product
431,wound/lesion/abscess swab
429,avocado
428,poultry meat
427,trap sample
418,Aquatic products
417,metagenome
413,cervix
411,intestinal epithelial cells
409,rectal/cloacal/perianal swab
405,oropharyngeal swab
402,liver abscess
402,leaves
398,potato
395,ascites
394,tomato
390,dental plaque
389,trachea
388,groundwater
384,fluff/lint material
384,carcass swab
370,prawn product
365,Raw pork
354,cantaloupe
351,placenta
342,sponge
341,cilantro
338,marine
332,air
323,wildlife
319,FFPE tissue
315,papaya
315,respiratory swab
313,body swab
312,food-contact surface
309,surface layer
293,peanut butter
280,abdomen
275,long-term care facility
274,genitourinary tract
274,ectocervical mucosa
271,endovascular
270,leafy greens
268,tree nut
259,eye swab
237,mammary gland
223,sludge
216,hot spring
200,catfish product
198,Southern Sea Otter
193,nodule
183,wood
182,ready-to-eat food
177,marine shellfish
170,Physical
153,wound/pus swab
138,urethral swab
134,enrichment culture
127,patient/clinical
125,gut
122,cleanroom floor
119,clinical swab
116,internal-site swab
93,cloacal sample
89,estuary
83,tracheal aspirate
82,fermented food
82,nodules
77,probiotic product
72,grain product
69,kimchi
66,milk powder
65,throat swab
62,anaerobic digester
58,gill
56,leaf tissue
55,unicyanobacterial culture
53,glacier
50,assembly
41,tooth
39,skin swab
36,biological product
35,saline water
34,core
29,cold seep
28,fish product
27,plate culture
26,cave biofilm
25,oyster product
23,deep-sea hydrothermal deposit
20,teat/nipple swab
20,pig
20,metal
19,liquid culture
18,fermented milk/dairy product
17,urogenital/reproductive swab
14,ice core section from central arctic ocean
14,clone culture
11,produced fluids from hydraulically fractured shales
9,Citrus leaf
8,anaerobic bioreactor effluent
5,colon contents
4,rice leaves
4,dairy milk
4,transport swab
3,oral swab
2,screening culture
2,feed/fodder
2,cultured embryonic stem cells
1,Marmota himalayana
1,tonsil swab
1,plant material
