count,sample_type_sd_broad
371782,clinical/host-associated material
229497,feces/stool
172610,host-associated organism
125173,food/meat
110415,culture/assembly
93394,culture
74412,swab
39178,metadata descriptor / non-source
34765,whole organism
29972,water
29369,gut content
28961,food
26977,environmental material
22615,clinical fluid/material
20957,upper respiratory tract
11404,food/dairy
11147,culture/isolate
11062,upper respiratory site
10557,single cell
10337,soil
8769,urogenital site
7078,respiratory sample
6787,plant-associated material
6740,poultry
4995,food/produce
4618,sample
4509,sediment
4326,wastewater/sewage
3896,tissue
3771,agricultural environment
3523,surface sample
3263,host-associated context
3003,agricultural fecal material
2709,oral cavity
2658,Oyster
2596,food/processing environment
2457,built environment
2084,medical device
2002,shrimp
1477,molecular extract
1241,rectal/perianal swab
1220,aquatic food product
1134,laboratory environment
994,healthcare-associated environment
933,urogenital/gastrointestinal site
895,urban
418,Aquatic products
411,gut/host-associated material
409,rectal/cloacal/perianal swab
384,fluff/lint material
342,surface/sample collection material
338,marine
315,respiratory swab
293,food/plant product
198,Southern Sea Otter
190,environmental/geologic material
177,marine shellfish
170,Physical
127,patient/clinical
119,clinical swab
116,internal-site swab
93,cloacal sample
82,nodules
77,probiotic product
72,grain product
69,fermented food
62,wastewater/organic waste
58,animal tissue/site
56,leaf tissue
50,assembly
36,biological/clinical product
20,teat/nipple swab
20,metal
9,Citrus leaf
4,transport swab
2,feed/fodder
2,cultured embryonic stem cells
1,Marmota himalayana
