metric,value
files_scanned,5066
rows_scanned,2596985
file_errors,0
missing_required_column_file_hits,0
host_original_present,1567796
host_sd_present,1559488
host_taxid_present,1556365
host_taxid_percent,59.93
host_context_recovered_rows,159576
host_review_needed_rows,776
source_like_mapped_host_rows_for_review,18088
source_like_unmapped_host_rows_for_review,4503
sample_type_sd_present,1556982
sample_type_sd_percent,59.95
isolation_source_sd_present,1490468
isolation_source_sd_percent,57.39
environment_medium_sd_present,448841
environment_medium_sd_percent,17.28
country_present,2261248
country_percent,87.07
continent_present,2261940
subcontinent_present,2261940
country_continent_mismatch_rows,0
country_subcontinent_mismatch_rows,0
collection_year_present,2168853
collection_year_percent,83.51
