count,sample_type_sd_broad
345930,clinical/host-associated material
231857,feces/stool
127409,food/meat
108962,culture/assembly
92141,culture
52946,swab
43887,gut content
40263,environmental material
37263,metadata descriptor / non-source
31186,water
30250,upper respiratory tract
28587,food
25183,clinical fluid/material
12069,food/dairy
11732,soil
10810,culture/isolate
8940,single cell
7260,respiratory sample
6279,agricultural environment
6142,plant-associated material
5128,food/produce
4581,wastewater/sewage
4308,sediment
3960,host-associated context
3733,sample
3654,tissue
3357,agricultural fecal material
3343,laboratory environment
2918,built environment
2881,surface sample
2105,medical device
1519,aquatic food product
1478,molecular extract
1434,food/processing environment
843,healthcare-associated environment
530,cloacal sample
411,gut/host-associated material
361,surface/sample collection material
293,food/plant product
220,environmental/geologic material
107,fermented food
66,wastewater/organic waste
61,animal tissue/site
36,biological/clinical product
