count,subcontinent
1119292,Northern America
297028,Northern Europe
270942,Eastern Asia
141129,Western Europe
102618,Australia and New Zealand
51481,Southern Europe
46568,South America
38289,South-Eastern Asia
36011,Southern Asia
29948,Eastern Africa
23845,Western Asia
20828,Eastern Europe
18522,Southern Africa
15390,Western Africa
12372,Central America
10388,Northern Asia
6772,Ocean
4821,Northern Africa
3267,Melanesia
3136,Caribbean
2945,Antarctica
2740,Middle Africa
1136,South-eastern Asia
1005,Polynesia
939,Central Asia
426,Sea
112,Micronesia
