count,environment_medium_sd
259650,feces/stool
35168,soil
19204,wastewater
17757,air
16716,environmental sample
15216,water
12677,sediment
9329,seawater
6149,freshwater
6005,marine
5428,dairy food
4180,plant tissue
4140,river water
3418,manure
3166,environmental material
3009,sewage
2250,biofilm
2197,activated sludge
2180,culture medium
2116,estuarine water
2029,laboratory
1926,groundwater
1805,lake water
1803,environmental water
1445,hospital wastewater
1444,surface water
1337,marine sediment
1155,tidal flat sediment
1027,healthcare facility
990,pond water
958,sludge
912,hospital sewage
872,hot spring water
812,built-environment water
794,biological product
786,leachate
741,canal water
683,sea ice
616,biological waste material
452,drinking/distribution water
447,subsurface shale
416,glacier
415,spring water
384,built environment surface
377,dust
343,compost
311,water column
290,natural/free-living
255,brackish water
255,saline/brine water
242,irrigation water
225,chemically distinct water
184,agricultural/aquaculture water
179,cryoconite
146,metadata descriptor/non-source
106,surface/open water
101,geologic/produced water
94,produced water
86,agricultural/food-production water
86,Oyster pond
76,mud/sediment
50,drainage/runoff water
42,salt marsh sediment
32,domestic wastewater
27,mine water
25,creek water
22,cave/cryoconite water
21,pond sediment
14,drainage water
13,ice water
11,wastewater/sewage treatment plant
6,land crag
6,water/sediment mixture
4,aquarium/aquaculture water
3,landfill/leachate water
3,retting water
2,mine tailings
1,healthcare facility surface
1,river sediment
1,microplastic/plastic
1,running water
