metric,value
files_scanned,5066
rows_scanned,2596995
file_errors,0
missing_required_column_file_hits,0
host_original_present,1567852
host_sd_present,1558549
host_taxid_present,1557341
host_taxid_percent,59.97
host_context_recovered_rows,159579
host_review_needed_rows,776
source_like_mapped_host_rows_for_review,18133
source_like_unmapped_host_rows_for_review,4458
sample_type_sd_present,1556524
sample_type_sd_percent,59.94
isolation_source_sd_present,1490254
isolation_source_sd_percent,57.38
environment_medium_sd_present,457845
environment_medium_sd_percent,17.63
country_present,2261258
country_percent,87.07
continent_present,2261950
subcontinent_present,2261950
country_continent_mismatch_rows,0
country_subcontinent_mismatch_rows,0
collection_year_present,2168863
collection_year_percent,83.51
