assembly_accession	biosample	organism	migrated_entries
GCA_022531665.1	SAMN25989245	Klebsiella pneumoniae	1
GCA_023631385.1	SAMN26211595	Caballeronia sp. GACF5	3
GCA_034901085.1	SAMN14440447	Streptococcus pyogenes	3
GCA_034902105.1	SAMN14436690	Streptococcus pyogenes	3
GCA_034902225.1	SAMN14436695	Streptococcus pyogenes	3
GCA_037275485.1	SAMN29407300	Neisseria meningitidis	3
GCA_051132125.1	SAMN18220742	Pseudomonas sp. D4-21	3
GCA_051308115.1	SAMEA118615732	Acinetobacter baumannii	3
GCA_052182485.1	SAMN50721764	Salmonella enterica	2
GCA_053091375.1	SAMN43325419	Streptococcus pyogenes	3
GCA_900050095.1	SAMEA685657	Streptococcus pneumoniae	3
GCA_901213595.1	SAMEA2335662	Streptococcus pneumoniae	3
GCA_901231955.1	SAMEA2814291	Streptococcus pneumoniae	3
GCA_901236165.1	SAMEA2659124	Streptococcus pneumoniae	3
GCA_901239755.1	SAMEA3353994	Streptococcus pneumoniae	3
GCA_901243825.1	SAMEA3354048	Streptococcus pneumoniae	3
GCA_901247575.1	SAMEA2658906	Streptococcus pneumoniae	3
GCA_901249695.1	SAMEA2659058	Streptococcus pneumoniae	3
GCA_901249935.1	SAMEA3354116	Streptococcus pneumoniae	3
GCA_901291935.1	SAMEA4388118	Streptococcus pneumoniae	3
GCA_901292085.1	SAMEA3714252	Streptococcus pneumoniae	3
GCA_901292515.1	SAMEA4388413	Streptococcus pneumoniae	3
GCA_901297795.1	SAMEA3389775	Streptococcus pneumoniae	3
GCA_901295605.1	SAMEA3389783	Streptococcus pneumoniae	3
GCA_901318785.1	SAMEA2658988	Streptococcus pneumoniae	3
GCA_901305505.1	SAMEA3389996	Streptococcus pneumoniae	3
GCA_901315095.1	SAMEA2658828	Streptococcus pneumoniae	3
GCA_901338875.1	SAMEA2814459	Streptococcus pneumoniae	3
GCA_000195475.2	SAMN02469785	Vibrio coralliilyticus P1	2
GCA_003840445.1	SAMN07423986	Pseudomonas aeruginosa	3
GCA_004447685.1	SAMN03275460	Listeria monocytogenes	3
GCA_004488045.1	SAMN03763570	Listeria monocytogenes	3
GCA_004638005.1	SAMN04195147	Listeria monocytogenes	3
GCA_004715025.1	SAMN02419861	Listeria monocytogenes	3
GCA_005910065.1	SAMN11655288	Salmonella enterica	2
GCA_006006685.1	SAMN11885519	Salmonella enterica	2
