assembly_accession	biosample	organism	decision	reason	Host	Host_Original	Host_SD	Host_TaxID	Host_Context_SD	Sampling_Context_SD	Host_Colonization_Status_SD	Host_Vital_Status_SD	Sample_Material_SD	Isolation_Source_SD	Sample_Type_SD	Environment_Medium_SD	Environment_Local_Scale_SD	Environment_Broad_Scale_SD	raw_context
GCA_001114105.1	SAMEA859913	Yersinia similis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_001140625.1	SAMEA859929	Yersinia similis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_028658975.1	SAMEA11322481	Staphylococcus aureus	keep	colonization-context audit	Sus scrofa domesticus	Sus scrofa domesticus	Sus scrofa domesticus	9825			carrier								Carrier pig
GCA_034981985.1	SAMN02982626	Streptococcus pyogenes	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								human carrier
GCA_035322985.1	SAMN38909787	Streptococcus pneumoniae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Carriage
GCA_052560635.1	SAMN47846106	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052561575.1	SAMN47845949	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052561795.1	SAMN47845957	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_018756435.1	SAMN04460964	Clostridioides difficile	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool		gut/fecal local context	host-associated gut/oral/fecal environment	feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | gut/fecal local context | host-associated gut/oral/fecal environment | feces | Faeces | feces | Faeces
GCA_001200095.1	SAMEA751456	Bordetella pertussis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | pharynx | pharynx
GCA_007001485.1	SAMN10775307	Clostridioides difficile	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool		gut/fecal local context	host-associated gut/oral/fecal environment	feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | gut/fecal local context | host-associated gut/oral/fecal environment | stool | stool
GCA_022263155.1	SAMN07421108	Klebsiella pneumoniae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | Clinical or carriage sample
