assembly_accession	biosample	organism	decision	reason	Host	Host_Original	Host_SD	Host_TaxID	Host_Context_SD	Sampling_Context_SD	Host_Colonization_Status_SD	Host_Vital_Status_SD	Sample_Material_SD	Isolation_Source_SD	Sample_Type_SD	Environment_Medium_SD	Environment_Local_Scale_SD	Environment_Broad_Scale_SD	raw_context
GCA_001333515.1	SAMEA751484	Bordetella pertussis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | pharynx | pharynx
GCA_001198095.1	SAMEA751341	Bordetella pertussis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								
GCA_001209065.1	SAMEA751494	Bordetella pertussis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | pharynx | pharynx
GCA_004804375.1	SAMN11349924	Enterobacter bugandensis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			colonized			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | throat swab | throat swab
GCA_018647105.1	SAMN04460984	Clostridioides difficile	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool		gut/fecal local context	host-associated gut/oral/fecal environment	feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | gut/fecal local context | host-associated gut/oral/fecal environment | feces | Faeces | feces | Faeces
GCA_022263075.1	SAMN07421104	Klebsiella pneumoniae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | Clinical or carriage sample
GCA_022263915.1	SAMN07421118	Klebsiella pneumoniae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | Clinical or carriage sample
GCA_051945375.1	SAMN39605061	Staphylococcus aureus	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | nasal cavity/sinus/upper respiratory tract | nasal carriage
GCA_052560215.1	SAMN47846019	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_035321625.1	SAMN38909796	Streptococcus pneumoniae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Carriage
GCA_052560915.1	SAMN47846128	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052561475.1	SAMN47845941	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052561655.1	SAMN47845952	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052565275.1	SAMN47846081	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052547915.1	SAMN47845981	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052548615.1	SAMN47846172	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052558635.1	SAMN47846074	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052559825.1	SAMN47845927	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052559955.1	SAMN47846004	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_051954775.1	SAMN39605008	Staphylococcus aureus	keep	colonization-context audit	Sus scrofa domesticus	Sus scrofa domesticus	Sus scrofa domesticus	9825			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | nasal cavity/sinus/upper respiratory tract | animal nasal carriage
GCA_018724625.1	SAMN04460933	Clostridioides difficile	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool		gut/fecal local context	host-associated gut/oral/fecal environment	feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | gut/fecal local context | host-associated gut/oral/fecal environment | feces | Faeces | feces | Faeces
GCA_035321495.1	SAMN38909790	Streptococcus pneumoniae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Carriage
GCA_056640995.1	SAMN54763423	Cupriavidus necator	clear	colonization-context audit	absent	absent					colonized			environmental material		soil		terrestrial environment	environmental material | environmental material | soil | terrestrial environment | soil from abandoned vineyard, now colonized by oak and ash forest | cambisol | soil from abandoned vineyard, now colonized by oak and ash forest
GCA_052565135.1	SAMN47846054	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_018685955.1	SAMN04460886	Clostridioides difficile	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool		gut/fecal local context	host-associated gut/oral/fecal environment	feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | gut/fecal local context | host-associated gut/oral/fecal environment | feces | Faeces | feces | Faeces
GCA_047909475.1	SAMN39500145	Escherichia coli	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool				feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | fecal carriage
GCA_047909595.1	SAMN39500150	Escherichia coli	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool				feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | fecal carriage
GCA_052565335.1	SAMN47846085	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_028469345.1	SAMEA7375635	Staphylococcus aureus	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | carriage
GCA_017960395.1	SAMN11867053	Acinetobacter baumannii	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | unhealthy carrier
GCA_001194225.1	SAMEA751489	Bordetella pertussis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | pharynx | pharynx
GCA_001201375.1	SAMEA751435	Bordetella pertussis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | pharynx | pharynx
GCA_018762185.1	SAMN04460890	Clostridioides difficile	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool		gut/fecal local context	host-associated gut/oral/fecal environment	feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | gut/fecal local context | host-associated gut/oral/fecal environment | feces | Faeces | feces | Faeces
GCA_030181155.1	SAMN31544796	Kingella kingae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								
GCA_034979885.1	SAMN02982679	Streptococcus pyogenes	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								human carrier
GCA_034980125.1	SAMN02982661	Streptococcus pyogenes	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								human carrier
GCA_052564535.1	SAMN47845903	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_001333355.1	SAMEA751471	Bordetella pertussis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | pharynx | pharynx
GCA_047909205.1	SAMN39500090	Escherichia coli	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool				feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | fecal carriage
GCA_052548965.1	SAMN47846169	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_042854995.1	SAMD00773213	Corynebacterium ulcerans	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_025506135.1	SAMN03333288	Staphylococcus aureus	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | nasal cavity/sinus/upper respiratory tract | Nasal carriage
GCA_036313985.1	SAMN38468378	Escherichia coli	keep	colonization-context audit	Zophobas morio	Zophobas morio	Zophobas morio	2755281			colonized		tissue	clinical/host-associated material	tissue				tissue | tissue | clinical/host-associated material | clinical/host-associated material | Homogenized tissue of Zophobas morio larvae colonized with Ec-042 at T28 exp6
GCA_052560845.1	SAMN47846124	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_001332235.1	SAMEA751290	Bordetella pertussis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								
GCA_001333315.1	SAMEA751468	Bordetella pertussis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | pharynx | pharynx
GCA_003114895.2	SAMD00112926	Proteus mirabilis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_018767465.1	SAMN04461005	Clostridioides difficile	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool		gut/fecal local context	host-associated gut/oral/fecal environment	feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | gut/fecal local context | host-associated gut/oral/fecal environment | feces | Faeces | feces | Faeces
GCA_016029795.1	SAMEA7113552	Salmonella enterica subsp. enterica serovar Anatum	keep	colonization-context audit	absent	Human, Human Carrier	Homo sapiens	9606			carrier								Human, Human Carrier
GCA_034979585.1	SAMN02982694	Streptococcus pyogenes	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								human carrier
GCA_052560975.1	SAMN47846131	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052561875.1	SAMN47845966	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052565235.1	SAMN47846080	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_001333375.1	SAMEA751473	Bordetella pertussis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | pharynx | pharynx
GCA_030181645.1	SAMN31544754	Kingella kingae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								
GCA_047909375.1	SAMN39500097	Escherichia coli	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool				feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | fecal carriage
GCA_052549135.1	SAMN47846175	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_042852895.1	SAMD00773211	Corynebacterium ulcerans	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_022263115.1	SAMN07421082	Klebsiella pneumoniae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | Clinical or carriage sample
GCA_001319605.1	SAMEA859874	Yersinia mollaretii	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_001203895.1	SAMEA751443	Bordetella pertussis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | pharynx | pharynx
GCA_001196975.1	SAMEA751477	Bordetella pertussis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | pharynx | pharynx
GCA_030181525.1	SAMN31544760	Kingella kingae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								
GCA_009748725.1	SAMN10105117	Vibrio cholerae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Carrier
GCA_015796335.1	SAMN04285992	Vibrio cholerae	clear	colonization-context audit	unknown	unknown					carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | carrier
GCA_034980105.1	SAMN02982664	Streptococcus pyogenes	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								human carrier
GCA_052560655.1	SAMN47846107	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_030180215.1	SAMN31544722	Kingella kingae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								
GCA_052548095.1	SAMN47845992	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052549075.1	SAMN47846170	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052549335.1	SAMN47846184	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052558795.1	SAMN47846097	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_047909635.1	SAMN39500151	Escherichia coli	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool				feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | fecal carriage
GCA_047910455.1	SAMN39500128	Escherichia coli	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool				feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | fecal carriage
GCA_052559655.1	SAMN47845911	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_051945095.1	SAMN39605014	Staphylococcus aureus	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | carriage
GCA_001332215.1	SAMEA751288	Bordetella pertussis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								
GCA_001333615.1	SAMEA751493	Bordetella pertussis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | pharynx | pharynx
GCA_001198195.1	SAMEA751337	Bordetella pertussis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								
GCA_018762485.1	SAMN04460941	Clostridioides difficile	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool		gut/fecal local context	host-associated gut/oral/fecal environment	feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | gut/fecal local context | host-associated gut/oral/fecal environment | feces | Faeces | feces | Faeces
GCA_007000575.1	SAMN10775309	Clostridioides difficile	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool		gut/fecal local context	host-associated gut/oral/fecal environment	feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | gut/fecal local context | host-associated gut/oral/fecal environment | stool | stool
GCA_015797075.1	SAMN04285985	Vibrio cholerae	clear	colonization-context audit	unknown	unknown					carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | carrier
GCA_051945175.1	SAMN39605013	Staphylococcus aureus	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | carriage
GCA_052564355.1	SAMN47845892	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052561715.1	SAMN47845934	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052560675.1	SAMN47846109	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_054749465.1	SAMD00752331	Helicobacter pylori	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								
GCA_022263535.1	SAMN07421091	Klebsiella pneumoniae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | Clinical or carriage sample
GCA_047910765.1	SAMN39500139	Escherichia coli	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier		feces/stool	clinical/host-associated material	feces/stool				feces/stool | feces/stool | clinical/host-associated material | clinical/host-associated material | fecal carriage
GCA_052952635.1	SAMN50449475	Citrobacter freundii	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			colonized		urine	clinical/host-associated material	urine				urine | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | urine | urine
GCA_055556485.1	SAMN43881110	Escherichia coli	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	rectal swab				rectal swab | swab | clinical/host-associated material | clinical/host-associated material | rectum/perianal region | Rectal swab/Carriage
GCA_001332975.1	SAMEA751440	Bordetella pertussis	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | pharynx | pharynx
GCA_002097135.1	SAMN06546689	Staphylococcus aureus	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								Carriage sample
GCA_034979785.1	SAMN02982686	Streptococcus pyogenes	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier								human carrier
GCA_049060305.1	SAMEA115674862	Staphylococcus aureus	keep	colonization-context audit	Felis catus	Felis catus	Felis catus	9685			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | nasal cavity/sinus/upper respiratory tract | nasal carriage
GCA_052560775.1	SAMN47846118	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_052548575.1	SAMN47846147	Haemophilus influenzae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material	nasopharynx/oropharynx				nasopharynx/oropharynx | upper respiratory tract | clinical/host-associated material | clinical/host-associated material | nasopharynx/oropharynx | nasopharynx | nasopharynx
GCA_055556445.1	SAMN43881089	Escherichia coli	keep	colonization-context audit	dog	dog	Canis lupus familiaris	9615			carrier			clinical/host-associated material	rectal swab				rectal swab | swab | clinical/host-associated material | clinical/host-associated material | rectum/perianal region | Rectal swab/Carriage
GCA_028468945.1	SAMEA7375665	Staphylococcus aureus	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | carriage
GCA_022175885.1	SAMEA6654238	Klebsiella pneumoniae	keep	colonization-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606			carrier			clinical/host-associated material					clinical/host-associated material | clinical/host-associated material | Carriage
