assembly_accession	biosample	organism	decision	reason	Host	Host_Original	Host_SD	Host_TaxID	Host_Context_SD	Sampling_Context_SD	Host_Colonization_Status_SD	Host_Vital_Status_SD	Sample_Material_SD	Isolation_Source_SD	Sample_Type_SD	Environment_Medium_SD	Environment_Local_Scale_SD	Environment_Broad_Scale_SD	raw_context
GCA_028535245.1	SAMEA7997435	Staphylococcus aureus	clear	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				healthcare facility			healthcare facility	healthcare-associated environment	healthcare facility | healthcare-associated environment | healthcare facility | healthcare-associated environment | Patient visiting Queen Elizabeth Central Hospital, Blantyre
GCA_028536625.1	SAMEA7997320	Staphylococcus aureus	clear	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				healthcare facility			healthcare facility	healthcare-associated environment	healthcare facility | healthcare-associated environment | healthcare facility | healthcare-associated environment | Patient visiting Queen Elizabeth Central Hospital, Blantyre
GCA_003835325.1	SAMN07424125	Pseudomonas aeruginosa	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject									cystic fibrosis patient
GCA_003858115.1	SAMN07424105	Pseudomonas aeruginosa	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject									cystic fibrosis patient
GCA_009770965.1	SAMN13441241	Enterococcus faecium	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject									patient sample
GCA_021698025.1	SAMN14523613	Pseudomonas aeruginosa	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject									tracheal aspirates from patient ventilator
GCA_023722065.1	SAMN26029137	Escherichia coli	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject			feces/stool		feces/stool				feces/stool | feces/stool | fecal sample from STEC-infected patient
GCA_023722475.1	SAMN26029117	Escherichia coli	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject			feces/stool		feces/stool				feces/stool | feces/stool | fecal sample from patient with Hemolytic Uremic Syndrome
GCA_023722665.1	SAMN26029087	Escherichia coli	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject			feces/stool		feces/stool				feces/stool | feces/stool | fecal sample from patient with Hemolytic Uremic Syndrome
GCA_023842555.1	SAMN26764462	Salmonella enterica	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject			feces/stool		feces/stool		gut/fecal local context	host-associated gut/oral/fecal environment	feces/stool | feces/stool | gut/fecal local context | host-associated gut/oral/fecal environment | feces from patient with diarrhea
