count,field,value,recommended_action
1,Isolation_Source_SD,ATCC 33624,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 51259, VPI N14B-15",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 29863,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 11563, NCTC 8251, DSM 20340",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 35185, VPI D19B-28",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 43532,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 43531, DSM 19720",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 43541, VPI D9B-5",route to controlled category or manual_review
1,Isolation_Source_SD,derived from ATCC 13685,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 49030,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 23685,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 19414,route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 3989, ATCC 27806",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 27751, DSM 3353",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 27305,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 11577,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 8290,route to controlled category or manual_review
1,Isolation_Source_SD,UV-radiation mutant of parent strain MA1002,route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 20544, ATCC 27723, NCTC 10934",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 51147, CCUG 30450",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 33394, CCUG 6516, DSM 10202",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 23330,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 700122,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 51172, JCM 8140, DSM 7456",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 35098,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 51170,route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 7454, ATCC 49630, JCM 7635",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC BAA-1640,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 29427, CCUG 17639, DSM 20464",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 27758,route to controlled category or manual_review
1,Isolation_Source_SD,derived from IFO 3276 that was derived from cherry,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 35310, NCDO 2354, DSM 20616, BEI HM-137",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 49957, CIP 104027",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 51873, HER 1272, 1672",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 10379, NCTC 5414, CCUG 37985, CIP 101126, LMG 18984",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC BAA-170, DSM 13220, CIP 108362",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 53516,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 29799,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 49175, CIP 103243, DSM 9848",route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 43331, ATCC 17982",route to controlled category or manual_review
1,Isolation_Source_SD,contaminant of ATCC 12872 Bacillus megaterium,route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 16795, ATCC 14880",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC BAA-286,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 33270, DSM 20468, GIFU 7824, NCTC 11808",route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 2876, ATCC 29175",route to controlled category or manual_review
1,Isolation_Source_SD,mutant derived from parent strain ATCC 53524,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 35241, BV 345-16",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 35239,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 43063, DSM 2711",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 35243,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 23834, BCRC 14415, CCUG 2138, DSM 8340",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 15826, NCTC 10426",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 29453, ICPB 3636",route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 12042, ATCC 51649",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 49626, VPI D140H-11A",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 35896,route to controlled category or manual_review
1,Isolation_Source_SD,MNNG mutagenesis derived mutant of the parent strain NUB36,route to controlled category or manual_review
1,Isolation_Source_SD,Re-isolation from ATCC 39073,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC BAA-1850,route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 51276,route to controlled category or manual_review
1,Isolation_Source_SD,derived from ATCC 27184,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 43715, SM65",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 29143, DSM 3991",route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 17244, ATCC BAA-858, CCUG 47767, CIP 108481, WAL 14563",route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC 43003, JCM 3961",route to controlled category or manual_review
1,Isolation_Source_SD,"DSM 2778, ATCC 35019",route to controlled category or manual_review
1,Isolation_Source_SD,ATCC 51267,route to controlled category or manual_review
1,Isolation_Source_SD,Lac- derivative of Serratia sp. ATCC 39006 generated by EMS mutagenesis,route to controlled category or manual_review
1,Isolation_Source_SD,"ATCC BAA-974, CDC 945",route to controlled category or manual_review
