rule_file,action,normalized_synonym,before_value,after_value,before_taxid,after_taxid
host_synonyms,added,dialictus sp.,,Dialictus,,88475
host_synonyms,added,diaphorina citri kuwayama,,Diaphorina citri,,121845
host_synonyms,added,dictyonema sp. 2651,,Dictyonema,,39673
host_synonyms,added,dictyonema sp. 3644,,Dictyonema,,39673
host_synonyms,added,dictyonema sp. 3668,,Dictyonema,,39673
host_synonyms,added,dipodomys sp.,,Dipodomys,,10016
host_synonyms,added,dirinaria,,Dirinaria,,205616
host_synonyms,added,dirofilaria immitis,,Dirofilaria immitis,,6287
host_synonyms,added,diseased yellow croaker,,Larimichthys crocea,,215358
host_synonyms,added,doe,,Cervidae,,9850
host_synonyms,added,dolphinfish,,Coryphaena hippurus,,34814
host_synonyms,added,dragonfruit,,Selenicereus,,83431
host_synonyms,added,dune marsh elder iva imbricata,,Iva imbricata,,913330
host_synonyms,added,eastern boxelder,,Acer negundo,,4023
host_synonyms,added,echinochloa crusgalli beauv.,,Echinochloa crus-galli,,90397
host_synonyms,added,egret,,Ardeidae,,8899
host_synonyms,added,enarsia hispida,,Encarsia hispida,,119697
host_synonyms,added,encephalarto,,Encephalartos,,3299
host_synonyms,added,epalzeothynchos frenatum,,Epalzeorhynchos frenatum,,2848748
host_synonyms,added,ephestia qularis,,Aphomia gularis,,1915117
host_synonyms,added,ephistia cautella,,Ephestia cautella,,12985
host_synonyms,added,epiponini,,Epiponini,,76992
host_synonyms,added,erodium sp.,,Erodium,,21555
host_synonyms,added,euphausiacea,,Euphausiacea,,6816
host_synonyms,added,european roe,,Capreolus capreolus,,9858
host_synonyms,added,felis,,Felis,,9682
host_synonyms,added,fetuca,,Festuca,,4605
host_synonyms,added,filago sp.,,Filago,,261771
host_synonyms,added,focha andina,,Fulica ardesiaca,,555253
host_synonyms,added,forage rape,,Brassica napus,,3708
host_synonyms,added,fritillariae cirrhosae,,Fritillaria cirrhosa,,108544
host_synonyms,added,fulmars,,Fulmarus,,30454
host_synonyms,added,gallas gallas domesticus,,Gallus gallus domesticus,,9031
host_synonyms,added,gander,,Anser,,8842
host_synonyms,added,gans,,Anser,,8842
host_synonyms,added,geophilidae myriapod,,Geophilidae,,60155
host_synonyms,added,giant seaperch,,Lates calcarifer,,8187
host_synonyms,added,gingsen,,Panax,,4053
host_synonyms,added,gosling,,Anser,,8842
