synonym,canonical,taxid,confidence,rank,superkingdom,lineage,current_note,recommended_action,action_detail
Agrostis capillaris,Agrostis capillaris,204232,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Poodae;Poeae;Poeae Chloroplast Group 1 (Aveneae type);Agrostidodinae;Agrostidinae;Agrostis;Agrostis capillaris,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Microtus ochrogaster,Microtus ochrogaster,79684,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Cricetidae;Arvicolinae;Microtus;Microtus ochrogaster,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Mico argentatus,Mico argentatus,9482,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Haplorrhini;Simiiformes;Platyrrhini;Cebidae;Callitrichinae;Mico;Mico argentatus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Malayopython reticulatus,Malayopython reticulatus,1496311,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Lepidosauria;Squamata;Bifurcata;Unidentata;Episquamata;Toxicofera;Serpentes;Henophidia;Pythonidae;Malayopython;Malayopython reticulatus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Tettigades ulnaria,Tettigades ulnaria,1498844,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Paraneoptera;Hemiptera;Auchenorrhyncha;Cicadomorpha;Cicadoidea;Cicadidae;Tibicininae;Tettigadini;Tettigades;Tettigades ulnaria,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Okanagana oregona,Okanagana oregona,2219933,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Paraneoptera;Hemiptera;Auchenorrhyncha;Cicadomorpha;Cicadoidea;Cicadidae;Tibicininae;Tibicinini;Okanagana;Okanagana oregona,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Zeugodacus cucurbitae,Zeugodacus cucurbitae,28588,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Diptera;Brachycera;Muscomorpha;Eremoneura;Cyclorrhapha;Schizophora;Acalyptratae;Tephritoidea;Tephritidae;Dacinae;Dacini;Zeugodacus;Zeugodacus;Zeugodacus cucurbitae,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Erethizon dorsatum,Erethizon dorsatum,34844,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Hystricomorpha;Erethizontidae;Erethizon;Erethizon dorsatum,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Pantherophis guttatus,Pantherophis guttatus,94885,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Lepidosauria;Squamata;Bifurcata;Unidentata;Episquamata;Toxicofera;Serpentes;Colubroidea;Colubridae;Colubrinae;Pantherophis;Pantherophis guttatus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Megascops asio,Megascops asio,81905,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Strigiformes;Strigidae;Megascops;Megascops asio,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Charadrius melodus,Charadrius melodus,279942,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Charadriiformes;Charadriidae;Charadrius;Charadrius melodus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Aythya ferina,Aythya ferina,219593,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Galloanserae;Anseriformes;Anatidae;Aythyinae;Aythya;Aythya ferina,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Aythya nyroca,Aythya nyroca,197939,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Galloanserae;Anseriformes;Anatidae;Aythyinae;Aythya;Aythya nyroca,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Rattus nitidus,Rattus nitidus,508668,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Muridae;Murinae;Rattus;Rattus nitidus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Clethrionomys rutilus,Clethrionomys rutilus,537920,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Cricetidae;Arvicolinae;Clethrionomys;Clethrionomys rutilus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Belgica antarctica,Belgica antarctica,315563,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Diptera;Nematocera;Culicomorpha;Chironomoidea;Chironomidae;Orthocladiinae;Belgica;Belgica antarctica,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Ixodes pavlovskyi,Ixodes pavlovskyi,79495,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Parasitiformes;Ixodida;Ixodoidea;Ixodidae;Ixodinae;Ixodes;Ixodes pavlovskyi,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Peltigera malacea,Peltigera malacea,52884,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Peltigerales;Peltigerineae;Peltigeraceae;Peltigera;Peltigera malacea,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Azolla pinnata,Azolla pinnata,99433,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Polypodiopsida;Polypodiidae;Salviniales;Salviniaceae;Azolla;Azolla pinnata,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Inia geoffrensis,Inia geoffrensis,9725,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Whippomorpha;Cetacea;Odontoceti;Iniidae;Inia;Inia geoffrensis,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Mimosa setosissima,Mimosa setosissima,648490,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Caesalpinioideae;mimosoid clade;Mimoseae;Mimosa;Mimosa setosissima,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Mimosa ulei,Mimosa ulei,648516,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Caesalpinioideae;mimosoid clade;Mimoseae;Mimosa;Mimosa ulei,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Perna canaliculus,Perna canaliculus,38949,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Bivalvia;Autobranchia;Pteriomorphia;Mytilida;Mytiloidea;Mytilidae;Crenellinae;Perna;Perna canaliculus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Petrosia ficiformis,Petrosia ficiformis,68564,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Haplosclerida;Petrosiidae;Petrosia;Petrosia ficiformis,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Richardia scabra,Richardia scabra,60230,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Gentianales;Rubiaceae;Rubioideae;Spermacoceae;Richardia;Richardia scabra,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Siphamia roseigaster,Siphamia roseigaster,1431494,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Gobiaria;Kurtiformes;Apogonoidei;Apogonidae;Apogoninae;Siphamia;Siphamia roseigaster,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Astragalus sp.,Astragalus sp.,3158727,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;Hologalegina;IRL clade;Galegeae;Astragalus;unclassified Astragalus;Astragalus sp.,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Turdus olivater,Turdus olivater,411535,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Turdidae;Turdus;Turdus olivater,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Turdus flavipes,Turdus flavipes,1896771,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Turdidae;Turdus;Turdus flavipes,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Medicago orbicularis,Medicago orbicularis,70962,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;Hologalegina;IRL clade;Trifolieae;Medicago;Medicago orbicularis,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Lobelia erinus,Lobelia erinus,16430,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;campanulids;Asterales;Campanulaceae;Lobelia;Lobelia erinus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Bitter gourd,Bitter gourd,3673,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Cucurbitales;Cucurbitaceae;Momordiceae;Momordica;Momordica charantia,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Tephrosia purpurea,Tephrosia purpurea,228354,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;indigoferoid/millettioid clade;Millettieae;Tephrosia;Tephrosia purpurea,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Indigofera sp.,Indigofera sp.,3112575,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;indigoferoid/millettioid clade;Indigofereae;Indigofera;unclassified Indigofera;Indigofera sp.,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Neltuma juliflora,Neltuma juliflora,3128859,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Caesalpinioideae;mimosoid clade;Mimoseae;Neltuma;Neltuma juliflora,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Vachellia tortilis subsp. raddiana,Vachellia tortilis subsp. raddiana,1095369,high,subspecies,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Caesalpinioideae;mimosoid clade;Acacieae;Vachellia;Vachellia tortilis;Vachellia tortilis subsp. raddiana,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Euplotes aediculatus,Euplotes aediculatus,5940,high,species,Eukaryota,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Hypotrichia;Euplotida;Euplotidae;Euplotes;Euplotes aediculatus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Chimarrichthys kishinouyei,Chimarrichthys kishinouyei,2202370,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Characiphysae;Siluriformes;Siluroidei;Sisoridae;Glyptosterninae;Chimarrichthys;Chimarrichthys kishinouyei,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Pseudobagrus truncatus,Pseudobagrus truncatus,175794,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Characiphysae;Siluriformes;Siluroidei;Bagridae;Pseudobagrus;Pseudobagrus truncatus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Microcebus murinus,Microcebus murinus,30608,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Strepsirrhini;Lemuriformes;Cheirogaleidae;Microcebus;Microcebus murinus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Massospora cicadina,Massospora cicadina,348617,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Zoopagomycota;Entomophthoromycotina;Entomophthoromycetes;Entomophthorales;Entomophthoraceae;Massospora;Massospora cicadina,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Triplophysa stenura,Triplophysa stenura,341123,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Cypriniphysae;Cypriniformes;Cobitoidei;Nemacheilidae;Triplophysa;Triplophysa stenura,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Echinocactus platyacanthus,Echinocactus platyacanthus,130113,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;Caryophyllales;Cactineae;Cactaceae;Cactoideae;Cacteae;Echinocactus;Echinocactus platyacanthus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Cylindrotermes parvignathus,Cylindrotermes parvignathus,187535,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blattoidea;Termitoidae;Termitidae;Termitinae;Amitermes group;Cylindrotermes;Cylindrotermes parvignathus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Coatitermes kartaboensis,Coatitermes kartaboensis,377889,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blattoidea;Termitoidae;Termitidae;Nasutitermitinae;Coatitermes;Coatitermes kartaboensis,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Coptotermes formosanus,Coptotermes formosanus,36987,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blattoidea;Termitoidae;Rhinotermitidae;Coptotermitinae;Coptotermes;Coptotermes formosanus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Microcerotermes parvus,Microcerotermes parvus,187517,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blattoidea;Termitoidae;Termitidae;Termitinae;Amitermes group;Microcerotermes;Microcerotermes parvus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Mycale hentscheli,Mycale hentscheli,659499,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Porifera;Demospongiae;Heteroscleromorpha;Poecilosclerida;Mycalidae;Mycale;Mycale hentscheli,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Nipponacmea schrenckii,Nipponacmea schrenckii,225303,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Patellogastropoda;Lottioidea;Lottiidae;Nipponacmea;Nipponacmea schrenckii,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Caiman latirostris,Caiman latirostris,190476,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Crocodylia;Alligatoridae;Caimaninae;Caiman;Caiman latirostris,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Testudo hermanni,Testudo hermanni,86976,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Testudinata;Testudines;Cryptodira;Durocryptodira;Testudinoidea;Testudinidae;Testudo;Testudo hermanni,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
