count,environment_medium_sd_broad
259811,feces/stool
66293,water
35715,environmental material
35175,soil
15229,sediment
14804,wastewater/sewage
5894,marine
5405,food/dairy
4161,plant-associated material
3916,agricultural fecal material
2237,biofilm
2175,culture medium
2034,laboratory environment
1028,healthcare-associated environment
794,biological/clinical product
777,leachate
618,sea ice
616,biological waste material
490,surface sample
446,environmental/geologic material
377,dust
345,compost
65,clinical fluid/material
62,metadata descriptor / non-source
6,land crag
