count,environment_medium_sd
259811,feces/stool
35175,soil
30537,air
16054,wastewater
15231,water
12716,sediment
9302,seawater
9297,sewage
6172,freshwater
5894,marine
5405,dairy food
4161,plant tissue
4140,river water
3916,manure
3644,environmental material
2237,biofilm
2195,activated sludge
2175,culture medium
2115,estuarine water
2034,laboratory
1924,groundwater
1820,environmental water
1803,lake water
1445,hospital wastewater
1444,surface water
1340,marine sediment
1110,tidal flat sediment
1027,healthcare facility
990,pond water
955,sludge
912,hospital sewage
872,hot spring water
815,built-environment water
797,environmental sample
794,biological product
777,leachate
741,canal water
618,sea ice
616,biological waste material
451,drinking/distribution water
447,subsurface shale
446,glacier
415,spring water
384,built environment surface
377,dust
345,compost
304,water column
290,natural/free-living
254,brackish water
245,saline/brine water
242,irrigation water
225,chemically distinct water
215,agricultural/aquaculture water
106,surface/open water
101,geologic/produced water
93,produced water
89,agricultural/food-production water
86,Oyster pond
62,metadata descriptor/non-source
51,drainage/runoff water
35,salt marsh sediment
29,domestic wastewater
27,mine water
23,food-processing water
22,cave/cryoconite water
21,pond sediment
20,ice water
14,drainage water
11,wastewater/sewage treatment plant
8,running water
6,land crag
6,water/sediment mixture
4,aquarium/aquaculture water
3,landfill/leachate water
3,retting water
1,healthcare facility surface
1,river sediment
