field	standardized_value	primary_semantic_class	secondary_semantic_classes	semantic_components	confidence	field_compatibility	row_count	reason	additive_destinations	proposed_destination	remove_from_current_field	action_class
Isolation_Site_SD	plant root/rhizosphere	environment_local_scale	host_context	environment_local_scale:local environmental or facility feature|host_context:host-associated context|environment_local_scale:rhizosphere|host_context:plant-associated	medium	incompatible	8567	Isolation_Site_SD should contain anatomical sites or plant parts only.	Environment_Local_Scale_SD|Host_Context_SD	Environment_Local_Scale_SD|Host_Context_SD	true	manual_review
Isolation_Site_SD	cerebrospinal fluid	anatomical_material	sample_material	sample_material:cerebrospinal fluid|anatomical_material:host anatomical material	high	incompatible	5264	Isolation_Site_SD should contain anatomical sites or plant parts only.	Host_Anatomical_Material_SD|Sample_Material_SD|Sample_Type_SD	Host_Anatomical_Material_SD|Sample_Material_SD|Sample_Type_SD	true	confirmed_high_confidence_fix
Isolation_Site_SD	manure	sample_material	environment_medium	sample_material:manure/fecal material|environment_medium:agricultural organic material	high	incompatible	4577	Isolation_Site_SD should contain anatomical sites or plant parts only.	Sample_Material_SD|Sample_Type_SD|Environment_Medium_SD	Sample_Material_SD|Sample_Type_SD|Environment_Medium_SD	true	confirmed_high_confidence_fix
Isolation_Site_SD	pus	anatomical_material	sample_material	sample_material:pus/purulent material|anatomical_material:host anatomical material	high	incompatible	2645	Isolation_Site_SD should contain anatomical sites or plant parts only.	Host_Anatomical_Material_SD|Sample_Material_SD|Sample_Type_SD	Host_Anatomical_Material_SD|Sample_Material_SD|Sample_Type_SD	true	confirmed_high_confidence_fix
Isolation_Site_SD	plant-associated material	sample_material	source_context|host_context|sampling_context	source_context:plant-associated material|host_context:plant-associated|sampling_context:plant-associated|sample_material:plant material	high	incompatible	2016	Isolation_Site_SD should contain anatomical sites or plant parts only.	Sample_Material_SD|Sample_Type_SD|Isolation_Source_SD|Host_Context_SD|Sampling_Context_SD	Sample_Material_SD|Sample_Type_SD|Isolation_Source_SD|Host_Context_SD|Sampling_Context_SD	true	confirmed_high_confidence_fix
Isolation_Site_SD	phyllosphere	environment_local_scale	host_context	environment_local_scale:phyllosphere|host_context:plant-associated	medium	incompatible	242	Isolation_Site_SD should contain anatomical sites or plant parts only.	Environment_Local_Scale_SD|Host_Context_SD	Environment_Local_Scale_SD|Host_Context_SD	true	manual_review
Isolation_Site_SD	endosphere	environment_local_scale	host_context	environment_local_scale:endosphere/plant internal compartment|host_context:plant-associated	medium	incompatible	55	Isolation_Site_SD should contain anatomical sites or plant parts only.	Environment_Local_Scale_SD|Host_Context_SD	Environment_Local_Scale_SD|Host_Context_SD	true	manual_review
Isolation_Site_SD	catheter	source_context	collection_device	collection_device:catheter|source_context:medical device	high	incompatible	2	Isolation_Site_SD should contain anatomical sites or plant parts only.	Isolation_Source_SD|Sample_Collection_Device_SD	Isolation_Source_SD|Sample_Collection_Device_SD	true	confirmed_high_confidence_fix
